collection,source_type,consulted_workspace_file,url,release_availability
Atticus,Latin,sources/raw/atticus_att1.shtml,https://www.thelatinlibrary.com/cicero/att1.shtml,external_not_redistributed
Atticus,Latin,sources/raw/atticus_att2.shtml,https://www.thelatinlibrary.com/cicero/att2.shtml,external_not_redistributed
Atticus,Latin,sources/raw/atticus_att3.shtml,https://www.thelatinlibrary.com/cicero/att3.shtml,external_not_redistributed
Atticus,Latin,sources/raw/atticus_att4.shtml,https://www.thelatinlibrary.com/cicero/att4.shtml,external_not_redistributed
Atticus,Latin,sources/raw/atticus_att5.shtml,https://www.thelatinlibrary.com/cicero/att5.shtml,external_not_redistributed
Atticus,Latin,sources/raw/atticus_att6.shtml,https://www.thelatinlibrary.com/cicero/att6.shtml,external_not_redistributed
Atticus,Latin,sources/raw/atticus_att7.shtml,https://www.thelatinlibrary.com/cicero/att7.shtml,external_not_redistributed
Atticus,Latin,sources/raw/atticus_att8.shtml,https://www.thelatinlibrary.com/cicero/att8.shtml,external_not_redistributed
Atticus,Latin,sources/raw/atticus_att9.shtml,https://www.thelatinlibrary.com/cicero/att9.shtml,external_not_redistributed
Atticus,Latin,sources/raw/atticus_att10.shtml,https://www.thelatinlibrary.com/cicero/att10.shtml,external_not_redistributed
Atticus,Latin,sources/raw/atticus_att11.shtml,https://www.thelatinlibrary.com/cicero/att11.shtml,external_not_redistributed
Atticus,Latin,sources/raw/atticus_att12.shtml,https://www.thelatinlibrary.com/cicero/att12.shtml,external_not_redistributed
Atticus,Latin,sources/raw/atticus_att13.shtml,https://www.thelatinlibrary.com/cicero/att13.shtml,external_not_redistributed
Atticus,Latin,sources/raw/atticus_att14.shtml,https://www.thelatinlibrary.com/cicero/att14.shtml,external_not_redistributed
Atticus,Latin,sources/raw/atticus_att15.shtml,https://www.thelatinlibrary.com/cicero/att15.shtml,external_not_redistributed
Atticus,Latin,sources/raw/atticus_att16.shtml,https://www.thelatinlibrary.com/cicero/att16.shtml,external_not_redistributed
Familiares,Latin,sources/raw/familiares_fam1.shtml,https://www.thelatinlibrary.com/cicero/fam1.shtml,external_not_redistributed
Familiares,Latin,sources/raw/familiares_fam2.shtml,https://www.thelatinlibrary.com/cicero/fam2.shtml,external_not_redistributed
Familiares,Latin,sources/raw/familiares_fam3.shtml,https://www.thelatinlibrary.com/cicero/fam3.shtml,external_not_redistributed
Familiares,Latin,sources/raw/familiares_fam4.shtml,https://www.thelatinlibrary.com/cicero/fam4.shtml,external_not_redistributed
Familiares,Latin,sources/raw/familiares_fam5.shtml,https://www.thelatinlibrary.com/cicero/fam5.shtml,external_not_redistributed
Familiares,Latin,sources/raw/familiares_fam6.shtml,https://www.thelatinlibrary.com/cicero/fam6.shtml,external_not_redistributed
Familiares,Latin,sources/raw/familiares_fam7.shtml,https://www.thelatinlibrary.com/cicero/fam7.shtml,external_not_redistributed
Familiares,Latin,sources/raw/familiares_fam8.shtml,https://www.thelatinlibrary.com/cicero/fam8.shtml,external_not_redistributed
Familiares,Latin,sources/raw/familiares_fam9.shtml,https://www.thelatinlibrary.com/cicero/fam9.shtml,external_not_redistributed
Familiares,Latin,sources/raw/familiares_fam10.shtml,https://www.thelatinlibrary.com/cicero/fam10.shtml,external_not_redistributed
Familiares,Latin,sources/raw/familiares_fam11.shtml,https://www.thelatinlibrary.com/cicero/fam11.shtml,external_not_redistributed
Familiares,Latin,sources/raw/familiares_fam12.shtml,https://www.thelatinlibrary.com/cicero/fam12.shtml,external_not_redistributed
Familiares,Latin,sources/raw/familiares_fam13.shtml,https://www.thelatinlibrary.com/cicero/fam13.shtml,external_not_redistributed
Familiares,Latin,sources/raw/familiares_fam14.shtml,https://www.thelatinlibrary.com/cicero/fam14.shtml,external_not_redistributed
Familiares,Latin,sources/raw/familiares_fam15.shtml,https://www.thelatinlibrary.com/cicero/fam15.shtml,external_not_redistributed
Familiares,Latin,sources/raw/familiares_fam16.shtml,https://www.thelatinlibrary.com/cicero/fam16.shtml,external_not_redistributed
Quintum,Latin,sources/raw/quintum_fratrem1.shtml,https://www.thelatinlibrary.com/cicero/fratrem1.shtml,external_not_redistributed
Quintum,Latin,sources/raw/quintum_fratrem2.shtml,https://www.thelatinlibrary.com/cicero/fratrem2.shtml,external_not_redistributed
