relation_id,exposure_group_id,source_member_id,source_citation,endpoint_a_occurrence_id,endpoint_b_occurrence_id,endpoint_a_actor_id,endpoint_b_actor_id,source_direction,confidence,relation_role,observed_or_modeled,year_bce,scope,strict_graph_authorized,candidate_basis_authorized,candidate_basis_authority,candidate_basis_reason,o6_observed_relation_authorized,decision_authority
REL-74a9599e1b521914,O5EG-0016,ATT-PILOT-0011,Att. 12.22,OCC-ATT-PILOT-0011-BORROWER-01,OCC-ATT-PILOT-0011-LENDER-01,ACT-CICERO,ACT-SILIUS,undirected_for_graph,high,direct_borrower_lender,observed,45,strict_private,yes,yes,revision5_typed_relation_rule,strict_private_in_window_financial_relation,yes,revision5_typed_relation_rule
REL-91943d46ae8e4346,O5EG-0016,ATT-PILOT-0012,Att. 12.25,OCC-ATT-PILOT-0012-BORROWER-01,OCC-ATT-PILOT-0012-LENDER-01,ACT-CICERO,ACT-SILIUS,undirected_for_graph,high,direct_borrower_lender,observed,45,strict_private,yes,yes,revision5_typed_relation_rule,strict_private_in_window_financial_relation,yes,revision5_typed_relation_rule
REL-8b32b5dba3132bea,O5EG-0016,ATT-PILOT-0012,Att. 12.25,OCC-ATT-PILOT-0012-BORROWER-01,OCC-ATT-PILOT-0012-LENDER-02,ACT-CICERO,PLH-02dd7626e090cce8,undirected_for_graph,high,direct_borrower_lender,observed,45,strict_private,yes,yes,revision5_typed_relation_rule,strict_private_in_window_financial_relation,yes,revision5_typed_relation_rule
REL-72a11a3434a27532,O5EG-0016,ATT-PILOT-0012,Att. 12.25,OCC-ATT-PILOT-0012-BORROWER-01,OCC-ATT-PILOT-0012-THIRD_PARTY-01,ACT-CICERO,ACT-HERMOGENES,undirected_for_graph,high,financial_intermediary,observed,45,strict_private,yes,yes,revision5_typed_relation_rule,strict_private_in_window_financial_relation,yes,revision5_typed_relation_rule
REL-502049cfbfe40e0f,O5EG-0016,ATT-PILOT-0012,Att. 12.25,OCC-ATT-PILOT-0012-LENDER-01,OCC-ATT-PILOT-0012-THIRD_PARTY-01,ACT-SILIUS,ACT-HERMOGENES,undirected_for_graph,high,financial_intermediary,observed,45,strict_private,yes,yes,revision5_typed_relation_rule,strict_private_in_window_financial_relation,yes,revision5_typed_relation_rule
REL-741e930f604ab210,O5EG-0016,ATT-PILOT-0012,Att. 12.25,OCC-ATT-PILOT-0012-LENDER-02,OCC-ATT-PILOT-0012-THIRD_PARTY-01,PLH-02dd7626e090cce8,ACT-HERMOGENES,undirected_for_graph,high,financial_intermediary,observed,45,strict_private,yes,yes,revision5_typed_relation_rule,strict_private_in_window_financial_relation,yes,revision5_typed_relation_rule
REL-aeb6fefdc772531d,EG-CLEAN-0025,ATT-PILOT-0014,Att. 15.20,OCC-ATT-PILOT-0014-BORROWER-01,OCC-ATT-PILOT-0014-LENDER-01,ACT-CICERO,PLH-de958647944ebc7a,undirected_for_graph,high,direct_borrower_lender,observed,44,strict_private,yes,yes,revision5_typed_relation_rule,strict_private_in_window_financial_relation,yes,revision5_typed_relation_rule
REL-fa9ed102358c19d6,EG-CLEAN-0025,ATT-PILOT-0014,Att. 15.20,OCC-ATT-PILOT-0014-BORROWER-01,OCC-ATT-PILOT-0014-THIRD_PARTY-01,ACT-CICERO,ACT-TIRO,undirected_for_graph,high,financial_intermediary,observed,44,strict_private,yes,yes,revision5_typed_relation_rule,strict_private_in_window_financial_relation,yes,revision5_typed_relation_rule
REL-5bde5ce9792e0a6d,EG-CLEAN-0025,ATT-PILOT-0014,Att. 15.20,OCC-ATT-PILOT-0014-LENDER-01,OCC-ATT-PILOT-0014-THIRD_PARTY-01,PLH-de958647944ebc7a,ACT-TIRO,undirected_for_graph,high,financial_intermediary,observed,44,strict_private,yes,yes,revision5_typed_relation_rule,strict_private_in_window_financial_relation,yes,revision5_typed_relation_rule
REL-888229da787ed6bd,EG-CLEAN-0012,ATT-PILOT-0017,Att. 16.6,OCC-ATT-PILOT-0017-BORROWER-01,OCC-ATT-PILOT-0017-LENDER-01,ACT-CICERO,ACT-CLUVIAN-COHEIRS,undirected_for_graph,high,direct_borrower_lender,observed,44,strict_private,yes,yes,revision5_typed_relation_rule,strict_private_in_window_financial_relation,yes,revision5_typed_relation_rule
