k,held_out_exposure_group_id,target_hs,training_n,prediction_hs,absolute_natural_log_error
5,EG-CLEAN-0025,200000,2,371428.57142857142,0.619039208406
5,EG-CLEAN-0118,25000,2,371428.57142857142,2.698480750086
5,O5EG-0015,400000,2,371428.57142857142,0.074107972154
6,EG-CLEAN-0025,200000,2,375000,0.628608659422
6,EG-CLEAN-0118,25000,2,375000,2.708050201102
6,O5EG-0015,400000,2,375000,0.064538521138
7,EG-CLEAN-0025,200000,2,377777.777777777752,0.63598876672
7,EG-CLEAN-0118,25000,2,377777.777777777752,2.7154303084
7,O5EG-0015,400000,2,377777.777777777752,0.05715841384
8,EG-CLEAN-0025,200000,2,380000,0.641853886172
8,EG-CLEAN-0118,25000,2,380000,2.721295427852
8,O5EG-0015,400000,2,380000,0.051293294388
9,EG-CLEAN-0025,200000,2,381818.181818181823,0.646627164925
9,EG-CLEAN-0118,25000,2,381818.181818181823,2.726068706605
9,O5EG-0015,400000,2,381818.181818181823,0.046520015635
10,EG-CLEAN-0025,200000,2,383333.333333333314,0.650587566141
10,EG-CLEAN-0118,25000,2,383333.333333333314,2.730029107821
10,O5EG-0015,400000,2,383333.333333333314,0.042559614419
11,EG-CLEAN-0025,200000,2,384615.384615384624,0.653926467407
11,EG-CLEAN-0118,25000,2,384615.384615384624,2.733368009086
11,O5EG-0015,400000,2,384615.384615384624,0.039220713153
12,EG-CLEAN-0025,200000,2,385714.285714285739,0.656779536389
12,EG-CLEAN-0118,25000,2,385714.285714285739,2.736221078069
12,O5EG-0015,400000,2,385714.285714285739,0.036367644171
13,EG-CLEAN-0025,200000,2,386666.666666666686,0.659245628884
13,EG-CLEAN-0118,25000,2,386666.666666666686,2.738687170564
13,O5EG-0015,400000,2,386666.666666666686,0.033901551676
14,EG-CLEAN-0025,200000,2,387500,0.661398482245
14,EG-CLEAN-0118,25000,2,387500,2.740840023925
14,O5EG-0015,400000,2,387500,0.031748698315
15,EG-CLEAN-0025,200000,2,388235.294117647049,0.66329421741
15,EG-CLEAN-0118,25000,2,388235.294117647049,2.74273575909
