k,fold_count,mean_absolute_natural_log_error
5,3,1.130542643549
6,3,1.133732460554
7,3,1.13619249632
8,3,1.138147536137
9,3,1.139738629055
10,3,1.141058762794
11,3,1.142171729882
12,3,1.143122752876
13,3,1.143944783708
14,3,1.144662401495
15,3,1.145294313217
16,3,1.145855008611
17,3,1.146355885239
18,3,1.146806031605
19,3,1.14721278374
20,3,1.147582128192
21,3,1.147918998694
22,3,1.148227497867
23,3,1.148511065161
24,3,1.148772605648
25,3,1.149014589929
26,3,1.149239132432
27,3,1.149448053363
28,3,1.149642928161
29,3,1.149825127309
30,3,1.149995848611
31,3,1.150156143556
32,3,1.150306939005
33,3,1.150449055116
34,3,1.150583220275
35,3,1.150710083581
36,3,1.15083022535
37,3,1.150944165988
38,3,1.151052373531
39,3,1.151155270069
40,3,1.151253237251
41,3,1.151346621012
42,3,1.151435735659
43,3,1.151520867401
44,3,1.151602277423
45,3,1.151680204561
46,3,1.151754867644
47,3,1.151826467544
48,3,1.151895188982
49,3,1.151961202119
50,3,1.152024663963
