dyad_id,endpoint_a_actor_id,endpoint_b_actor_id,terminal_status,proposal_count,channels,valid_proposal_count,fully_authorizing_proposal_count,authorizing_proposal_id,authorizing_endpoint_a_occurrence_id,authorizing_endpoint_b_occurrence_id,authorizing_endpoint_a_authority,authorizing_endpoint_b_authority,authorizing_endpoint_a_reason,authorizing_endpoint_b_reason,edge_probability_p
DYAD-a71199ca024c14fe,ACT-APPULEIUS,ACT-CICERO,surviving_candidate,3,financial_shared_neighbor;within_component,3,3,15fc07e668cb9a47e5408db708aed8bfee533dc5f7b6c750ce2a3b718b519843,OCC-ATT-PILOT-0025-THIRD_PARTY-02,OCC-ATT-PILOT-0025-THIRD_PARTY-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0
DYAD-814f4d1482fd3a35,ACT-APPULEIUS,ACT-CORNIFICIUS,already_observed,2,financial_shared_neighbor;within_component,2,2,9d9d989c04aca9d985ef8ae58a9ac04aa3d64c71fdbf3d3acd3486fb6cf59ec5,OCC-ATT-PILOT-0025-THIRD_PARTY-02,OCC-ATT-PILOT-0025-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0
DYAD-2689af960df6272c,ACT-APPULEIUS,ACT-CORNIFICIUS-PROCURATORS,surviving_candidate,3,financial_shared_neighbor;within_component,3,3,2d31f8ce7252fde2d00b3aa32789f425b0936765259cc019992310e6fc0b16d4,OCC-ATT-PILOT-0025-THIRD_PARTY-02,OCC-ATT-PILOT-0025-THIRD_PARTY-03,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.593378479332
DYAD-3433efca4b00f4a9,ACT-APPULEIUS,ACT-IUNIUS,already_observed,2,financial_shared_neighbor;within_component,2,2,d19b477b1a6ddc68f16caf9fef66a69fd8633943606c251abae443bc88d93a2c,OCC-ATT-PILOT-0025-THIRD_PARTY-02,OCC-ATT-PILOT-0025-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0
DYAD-7d613c79c250b7b8,ACT-ATTICUS,ACT-ATTICUS,self_loop,6,financial_shared_neighbor,6,6,06ee1841837b91a88409c112c53fa60d03882282012a7632047cf6c868c2d8fa,OCC-ATT-PILOT-0035-THIRD_PARTY-01,OCC-SEC-STAGED-0076-THIRD_PARTY-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0
DYAD-81ce1a3a6a6d1f9a,ACT-ATTICUS,ACT-AURELIUS,surviving_candidate,4,financial_shared_neighbor,4,4,1c9bba8915332ca8a2e191618fdb5bd613cdbda6431c7cece5e360a2a5e5f1a6,OCC-ATT-PILOT-0036-THIRD_PARTY-01,OCC-FAM-PILOT-0004-LENDER-02,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.402212909114
DYAD-2d6d36ec9234888a,ACT-ATTICUS,ACT-CAERELLIA,surviving_candidate,4,financial_shared_neighbor,4,4,1bc152b3db51ef2879764f7d4d7534095d455e58fdad97e56983337e1dd8c3cf,OCC-ATT-PILOT-0017-THIRD_PARTY-02,OCC-ATT-PILOT-0026-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.381594910351
DYAD-7d8a74f6fbdadb7b,ACT-ATTICUS,ACT-CICERO,already_observed,11,financial_shared_neighbor;within_component,11,11,1e85622c94c457239c2ec8ef17729f153e739d10c10febfa0f0c970877de294c,OCC-SEC-STAGED-0076-THIRD_PARTY-01,OCC-SEC-STAGED-0076-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0
DYAD-9ac033df969ba6d9,ACT-ATTICUS,ACT-CLUVIAN-COHEIRS,already_observed,5,financial_shared_neighbor;within_component,5,5,05b7b2b1904d862fb615ad0c00eb2669813c5738d182529e5cd3b5a421af9d3c,OCC-ATT-PILOT-0036-THIRD_PARTY-01,OCC-ATT-PILOT-0017-LENDER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0
DYAD-4b56ccd33d47b93e,ACT-ATTICUS,ACT-COCCEIUS,surviving_candidate,4,financial_shared_neighbor,4,4,574e561149e4e55dd0d698d66b1c28cdfc7e6cd734aeb13b52d32e3275bd61e0,OCC-ATT-PILOT-0035-THIRD_PARTY-01,OCC-SEC-STAGED-0053-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.418578335414
DYAD-a9df929f274f970c,ACT-ATTICUS,ACT-CORNIFICIUS,surviving_candidate,4,financial_shared_neighbor,4,4,1c3f3ef064fad6307ed7c1df0de81e2242c3aed3e980dcea997b0a4868f743d4,OCC-ATT-PILOT-0035-THIRD_PARTY-01,OCC-ATT-PILOT-0025-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.381594910351
DYAD-84bae940d3f698a3,ACT-ATTICUS,ACT-DOLABELLA,surviving_candidate,4,financial_shared_neighbor,4,4,3ced2afb83358349b07427987eb1e7d75162bdb03c401ce5ccea2d75bf0c6d09,OCC-ATT-PILOT-0017-THIRD_PARTY-02,OCC-ATT-PILOT-0028-BORROWER-01,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis,0.402212909114
DYAD-e84fb5b825ec179a,ACT-ATTICUS,ACT-EGNATIUS-RUFUS,unauthorized_candidate_basis,4,financial_shared_neighbor,0,0,,,,,,,,0
