channel,seed_component_id,endpoint_a_occurrence_id,endpoint_b_occurrence_id,shared_neighbor_actor_id,leg_a_neighbor_occurrence_id,leg_b_neighbor_occurrence_id,leg_a_support_id,leg_b_support_id,leg_a_source_id,leg_b_source_id,leg_a_source_citation,leg_b_source_citation,leg_a_date,leg_b_date,leg_a_scope,leg_b_scope,leg_a_candidate_basis_authorized,leg_b_candidate_basis_authorized,leg_a_candidate_basis_authority,leg_b_candidate_basis_authority,leg_a_candidate_basis_reason,leg_b_candidate_basis_reason,leg_a_status,leg_b_status,within_component_basis_id,basis_evaluation,source_provenance,proposal_id,proposal_prefix,endpoint_a_actor_id,endpoint_b_actor_id,endpoint_a_placeholder,endpoint_b_placeholder,endpoint_a_authorized,endpoint_b_authorized,endpoint_a_authority,endpoint_b_authority,endpoint_a_reason,endpoint_b_reason
financial_shared_neighbor,EG-CLEAN-0022;O5EG-0015,OCC-ATT-PILOT-0035-THIRD_PARTY-01,OCC-ATT-PILOT-0036-LENDER-02,ACT-CICERO,OCC-ATT-PILOT-0035-BORROWER-01,OCC-ATT-PILOT-0036-BORROWER-01,REL-78884b13458b6257,REL-2b82f14fe214bab2,ATT-PILOT-0035,ATT-PILOT-0036,Att. 16.6,Att. 16.6,44,44,strict_private,strict_private,yes,yes,revision5_typed_relation_rule,revision5_typed_relation_rule,strict_private_in_window_financial_relation,strict_private_in_window_financial_relation,valid_basis,valid_basis,,valid_basis,ATT-PILOT-0035;ATT-PILOT-0036,008bc90476182bf32a7bfe07b68af0475407163a4f3bced2ea7bd33be96fef1a,PROP-008bc90476182bf3,ACT-ATTICUS,PLH-3867621eca95f356,no,yes,yes,no,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,placeholder_context_or_invalid_basis
within_component,O5EG-0016,OCC-ATT-PILOT-0011-BORROWER-01,OCC-ATT-PILOT-0012-LENDER-01,,,,,,,,,,,,,,,,,,,,,,O5EG-0016,valid_basis,ATT-PILOT-0011;ATT-PILOT-0012,0091f014f8c9153d60ceba280f96cb09fbc092a9f1eac775835988bb2c14108a,PROP-0091f014f8c9153d,ACT-CICERO,ACT-SILIUS,no,no,yes,yes,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis
within_component,EG-CLEAN-0028,OCC-ATT-PILOT-0025-LENDER-01,OCC-ATT-PILOT-0025-THIRD_PARTY-01,,,,,,,,,,,,,,,,,,,,,,EG-CLEAN-0028,valid_basis,ATT-PILOT-0025,0097238c8a16fcb1e9ff3ba44363c284a0a5a5f563d7f71a276d8646b83a1ae2,PROP-0097238c8a16fcb1,ACT-IUNIUS,ACT-CICERO,no,no,yes,yes,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis
within_component,EG-CLEAN-0118,OCC-ATT-PILOT-0018-BORROWER-01,OCC-ATT-PILOT-0018-LENDER-01,,,,,,,,,,,,,,,,,,,,,,EG-CLEAN-0118,valid_basis,ATT-PILOT-0018,00cf1ea7c6b9c89b06f13861fb944cd7f1ccc7e2517c9e5974979a2bd5c7d494,PROP-00cf1ea7c6b9c89b,ACT-TULLIUS-MONTANUS,PLH-b0c742e0f412ff74,no,yes,yes,no,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,placeholder_context_or_invalid_basis
financial_shared_neighbor,EG-CLEAN-0016;EG-CLEAN-0022,OCC-ATT-PILOT-0036-BORROWER-01,OCC-SEC-STAGED-0076-LENDER-01,ACT-ATTICUS,OCC-ATT-PILOT-0036-THIRD_PARTY-01,OCC-SEC-STAGED-0076-THIRD_PARTY-01,REL-1cef5bb4ebae093f,REL-93f67010273c3a72,ATT-PILOT-0036,SEC-STAGED-0076,Att. 16.6,Cic. Att. 14.18.2; Att. 14.20.2,44,44,strict_private,strict_private,yes,yes,revision5_typed_relation_rule,revision5_typed_relation_rule,strict_private_in_window_financial_relation,strict_private_in_window_financial_relation,valid_basis,valid_basis,,valid_basis,ATT-PILOT-0036;SEC-STAGED-0076,0103bcc8d091ceef58ff133abe46ae558e4259c0e195846d49b620731ffce8d7,PROP-0103bcc8d091ceef,ACT-CICERO,ACT-PATULCIUS,no,no,yes,yes,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis
financial_shared_neighbor,EG-CLEAN-0027;EG-CLEAN-0036,OCC-FAM-PILOT-0004-THIRD_PARTY-01,OCC-SEC-STAGED-0053-BORROWER-01,ACT-CICERO,OCC-FAM-PILOT-0004-BORROWER-01,OCC-SEC-STAGED-0053-LENDER-01,REL-b4879b77c0bcf7db,REL-7b76a195e64c8d7d,FAM-PILOT-0004,SEC-STAGED-0053,Fam. 16.24,Cic. Fam. 9.4; Att. 13.2; Att. 13.18.3; Att. 13.19.2,44,45,strict_private,strict_private,yes,yes,revision5_typed_relation_rule,revision5_typed_relation_rule,strict_private_in_window_financial_relation,strict_private_in_window_financial_relation,valid_basis,valid_basis,,valid_basis,FAM-PILOT-0004;SEC-STAGED-0053,014c0742be227772fc6406faa73c5adb94fe22db83eb69ea0e803a0abbe04085,PROP-014c0742be227772,ACT-TIRO,ACT-COCCEIUS,no,no,yes,yes,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis
financial_shared_neighbor,EG-CLEAN-0047;O5EG-0016,OCC-ATT-PILOT-0011-LENDER-01,OCC-SEC-STAGED-0038-THIRD_PARTY-01,ACT-CICERO,OCC-ATT-PILOT-0011-BORROWER-01,OCC-SEC-STAGED-0038-LENDER-01,REL-74a9599e1b521914,REL-52ad3f5d058a2e74,ATT-PILOT-0011,SEC-STAGED-0038,Att. 12.22,Cic. Att. 12.18.3; Att. 12.19.2,45,45,strict_private,strict_private,yes,no,revision5_typed_relation_rule,revision5_typed_relation_rule,strict_private_in_window_financial_relation,documentary_context_relation_not_authorized_as_candidate_basis,valid_basis,unauthorized_candidate_basis,,unauthorized_candidate_basis,ATT-PILOT-0011;SEC-STAGED-0038,0198369bd143fcdf1dbaf10573bdca44cd0e5c8624cb004629172ca0158d83bb,PROP-0198369bd143fcdf,ACT-SILIUS,ACT-EGNATIUS-RUFUS,no,no,yes,no,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,placeholder_context_or_invalid_basis
financial_shared_neighbor,EG-CLEAN-0012;EG-CLEAN-0022,OCC-ATT-PILOT-0017-LENDER-01,OCC-ATT-PILOT-0036-LENDER-01,ACT-ATTICUS,OCC-ATT-PILOT-0017-THIRD_PARTY-02,OCC-ATT-PILOT-0036-THIRD_PARTY-01,REL-e6094e3700b73681,REL-6c0129c0daf0720e,ATT-PILOT-0017,ATT-PILOT-0036,Att. 16.6,Att. 16.6,44,44,strict_private,strict_private,yes,yes,revision5_typed_relation_rule,revision5_typed_relation_rule,strict_private_in_window_financial_relation,strict_private_in_window_financial_relation,valid_basis,valid_basis,,valid_basis,ATT-PILOT-0017;ATT-PILOT-0036,01f48fcd7fbfcecbdcdf957b46b44e7c8daade6460bf0da73624c14fd50b7615,PROP-01f48fcd7fbfcecb,ACT-CLUVIAN-COHEIRS,ACT-TERENTIA,no,no,yes,yes,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis
financial_shared_neighbor,EG-CLEAN-0030;O5EG-0015,OCC-ATT-PILOT-0028-BORROWER-01,OCC-ATT-PILOT-0030-LENDER-01,ACT-CICERO,OCC-ATT-PILOT-0028-LENDER-01,OCC-ATT-PILOT-0030-BORROWER-01,REL-8da5775de7fb8109,REL-ee1426120bb3bdbc,ATT-PILOT-0028,ATT-PILOT-0030,Att. 14.18-14.20,Att. 16.2,44,44,strict_private,strict_private,yes,yes,revision5_typed_relation_rule,revision5_typed_relation_rule,strict_private_in_window_financial_relation,strict_private_in_window_financial_relation,valid_basis,valid_basis,,valid_basis,ATT-PILOT-0028;ATT-PILOT-0030,020879da35f3a5fb85ab796a6917e9e67852200c36d35b3de0062065153a1aa1,PROP-020879da35f3a5fb,ACT-DOLABELLA,ACT-PUBLILIUS,no,no,yes,yes,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis
financial_shared_neighbor,EG-CLEAN-0025;EG-CLEAN-0031,OCC-ATT-PILOT-0014-BORROWER-01,OCC-FAM-PILOT-0005-LENDER-01,ACT-TIRO,OCC-ATT-PILOT-0014-THIRD_PARTY-01,OCC-FAM-PILOT-0005-THIRD_PARTY-01,REL-fa9ed102358c19d6,REL-3ef2e78d89ce42c7,ATT-PILOT-0014,FAM-PILOT-0005,Att. 15.20,Fam. 16.24,44,44,strict_private,strict_private,yes,yes,revision5_typed_relation_rule,revision5_typed_relation_rule,strict_private_in_window_financial_relation,strict_private_in_window_financial_relation,valid_basis,valid_basis,,valid_basis,ATT-PILOT-0014;FAM-PILOT-0005,0274a472761a6f1c6ff29940b28949fac7e428e54afba7c83085742171160c43,PROP-0274a472761a6f1c,ACT-CICERO,ACT-CICERO,no,no,yes,yes,revision5_occurrence_rule,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,financial_named_occurrence_on_valid_seed_basis
