stable_actor_id,D,node_class,class_method,lower_cutpoint,upper_cutpoint,u_visibility_fingerprint,max_h_visibility,authorization
ACT-APPULEIUS,0.229689361795,low,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-ATTICUS,0.441537259354,central,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-AURELIUS,0.279785597426,high,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-CAERELLIA,0.316704799483,high,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-CATO,0.250481178154,medium,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-CICERO,1,central,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-CLUVIAN-COHEIRS,0.279785597426,high,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-COCCEIUS,0.250481178154,medium,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-CORNIFICIUS,0.316704799483,high,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
ACT-CORNIFICIUS-PROCURATORS,0.229689361795,low,o6_45_44_current_visibility_tertiles_v1,0.250481178154,0.279785597426,5d8f56aa526eca848d3c73533d69915cff0c02b873499c962f6db05f760f6bb3,13.836312685594,affirmative_stock_component_occurrence
