dyad_id,endpoint_a_actor_id,endpoint_b_actor_id,edge_probability_p
DYAD-a71199ca024c14fe,ACT-APPULEIUS,ACT-CICERO,0
DYAD-2689af960df6272c,ACT-APPULEIUS,ACT-CORNIFICIUS-PROCURATORS,0.593378479332
DYAD-81ce1a3a6a6d1f9a,ACT-ATTICUS,ACT-AURELIUS,0.402212909114
DYAD-2d6d36ec9234888a,ACT-ATTICUS,ACT-CAERELLIA,0.381594910351
DYAD-4b56ccd33d47b93e,ACT-ATTICUS,ACT-COCCEIUS,0.418578335414
DYAD-a9df929f274f970c,ACT-ATTICUS,ACT-CORNIFICIUS,0.381594910351
DYAD-84bae940d3f698a3,ACT-ATTICUS,ACT-DOLABELLA,0.402212909114
DYAD-f49feeb1a9e4b5f2,ACT-ATTICUS,ACT-EROS,0.430189790161
DYAD-586cf111feab0dee,ACT-ATTICUS,ACT-FABERIUS,0.369482056516
DYAD-33ad77b160a0e366,ACT-ATTICUS,ACT-FLAMMA,0.402212909114
DYAD-b2db43668e24e89f,ACT-ATTICUS,ACT-HERMOGENES,0.430189790161
DYAD-8c8a19ec9aafdf90,ACT-ATTICUS,ACT-HORTENSIUS,0.402212909114
DYAD-dea6db7f2fe28c83,ACT-ATTICUS,ACT-IUNIUS,0.381594910351
DYAD-e554da4f61968ea9,ACT-ATTICUS,ACT-METON,0.430189790161
DYAD-edb076cc1104c1db,ACT-ATTICUS,ACT-OFILLIUS,0.402212909114
DYAD-07d70b3cf21a644d,ACT-ATTICUS,ACT-SCRIBONIUS-LIBO,0.418578335414
DYAD-e81a303730c6652b,ACT-ATTICUS,ACT-SILIUS,0.369482056516
DYAD-75acc024b163c65b,ACT-ATTICUS,ACT-TIRO,0.300269177942
DYAD-64d5ea81d6b977df,ACT-AURELIUS,ACT-CAERELLIA,0.492119044622
DYAD-7ce3d118c9e15884,ACT-AURELIUS,ACT-CLUVIAN-COHEIRS,0.518708785675
DYAD-0bac861dd1e4d681,ACT-AURELIUS,ACT-COCCEIUS,0.539814250494
DYAD-dd21f959cd33000f,ACT-AURELIUS,ACT-CORNIFICIUS,0.492119044622
DYAD-a007e0f7c92bf224,ACT-AURELIUS,ACT-DOLABELLA,0.518708785675
DYAD-1159b6f04003eae9,ACT-AURELIUS,ACT-EROS,0.554788816091
DYAD-a92c398b78512eef,ACT-AURELIUS,ACT-FABERIUS,0.476497856039
DYAD-588d83c873ec9f38,ACT-AURELIUS,ACT-FLAMMA,0.518708785675
DYAD-d273c86eb855fac9,ACT-AURELIUS,ACT-HERMOGENES,0.554788816091
DYAD-fbd81f721515e8d9,ACT-AURELIUS,ACT-HORTENSIUS,0.518708785675
DYAD-86fbbb05645c6b8d,ACT-AURELIUS,ACT-IUNIUS,0.492119044622
DYAD-199b2c567b187fd9,ACT-AURELIUS,ACT-METON,0.554788816091
DYAD-9bce41fa202635f2,ACT-AURELIUS,ACT-OFILLIUS,0.518708785675
DYAD-bf531e6c66dcc842,ACT-AURELIUS,ACT-PATULCIUS,0.518708785675
DYAD-5feee60fa8077aa0,ACT-AURELIUS,ACT-PUBLILIUS,0.476497856039
DYAD-b96742a6859ec15c,ACT-AURELIUS,ACT-SCRIBONIUS-LIBO,0.539814250494
DYAD-69c289c83cce46bf,ACT-AURELIUS,ACT-SILIUS,0.476497856039
DYAD-4a02464e6f8509e3,ACT-AURELIUS,ACT-TERENTIA,0.518708785675
DYAD-b4d6cd5ffced7f44,ACT-CAERELLIA,ACT-CLUVIAN-COHEIRS,0.492119044622
DYAD-f0b76422b62cca04,ACT-CAERELLIA,ACT-COCCEIUS,0.512142613665
DYAD-aa02b6a3cef3c908,ACT-CAERELLIA,ACT-CORNIFICIUS,0.46689233105
DYAD-7b080b154ef5e712,ACT-CAERELLIA,ACT-DOLABELLA,0.492119044622
DYAD-b53add6ea57e2bd3,ACT-CAERELLIA,ACT-EROS,0.526349561993
DYAD-7a667fdaebb37786,ACT-CAERELLIA,ACT-FLAMMA,0.492119044622
DYAD-428812a75c2af833,ACT-CAERELLIA,ACT-HERMOGENES,0.526349561993
DYAD-405577a5bb35ad9c,ACT-CAERELLIA,ACT-HORTENSIUS,0.492119044622
DYAD-2115f666859ad492,ACT-CAERELLIA,ACT-IUNIUS,0.46689233105
DYAD-148f0c06393270b3,ACT-CAERELLIA,ACT-OFILLIUS,0.492119044622
DYAD-d6dbfc2c3069a155,ACT-CAERELLIA,ACT-PATULCIUS,0.492119044622
DYAD-182fcb32f9c45cc6,ACT-CAERELLIA,ACT-PUBLILIUS,0.452071906538
DYAD-fabf08efe3971b03,ACT-CAERELLIA,ACT-SCRIBONIUS-LIBO,0.512142613665
DYAD-41430607382d7105,ACT-CAERELLIA,ACT-SILIUS,0.452071906538
DYAD-1277ba84d11e402d,ACT-CAERELLIA,ACT-TERENTIA,0.492119044622
DYAD-c961d2c3fc03a601,ACT-CICERO,ACT-CORNIFICIUS-PROCURATORS,0
DYAD-5be5d853693a5e1a,ACT-CLUVIAN-COHEIRS,ACT-COCCEIUS,0.539814250494
DYAD-945e5d50bf81dece,ACT-CLUVIAN-COHEIRS,ACT-CORNIFICIUS,0.492119044622
DYAD-445380fe2708aa65,ACT-CLUVIAN-COHEIRS,ACT-DOLABELLA,0.518708785675
DYAD-e5d3e73225d5a86f,ACT-CLUVIAN-COHEIRS,ACT-EROS,0.554788816091
DYAD-b282ba2f0318b1af,ACT-CLUVIAN-COHEIRS,ACT-FABERIUS,0.476497856039
DYAD-abf330cda2cdf12e,ACT-CLUVIAN-COHEIRS,ACT-FLAMMA,0.518708785675
DYAD-42227e1d431c343d,ACT-CLUVIAN-COHEIRS,ACT-HERMOGENES,0.554788816091
DYAD-2fd13afd2623a4a3,ACT-CLUVIAN-COHEIRS,ACT-HORTENSIUS,0.518708785675
DYAD-ebb8f54bde9e227e,ACT-CLUVIAN-COHEIRS,ACT-IUNIUS,0.492119044622
DYAD-ea828ba9518d6ffe,ACT-CLUVIAN-COHEIRS,ACT-METON,0.554788816091
DYAD-743bec5514fc92b0,ACT-CLUVIAN-COHEIRS,ACT-OFILLIUS,0.518708785675
DYAD-7247cd768298c038,ACT-CLUVIAN-COHEIRS,ACT-PATULCIUS,0.518708785675
DYAD-b771962db5f60a00,ACT-CLUVIAN-COHEIRS,ACT-PUBLILIUS,0.476497856039
DYAD-f3bbe6fc05337303,ACT-CLUVIAN-COHEIRS,ACT-SCRIBONIUS-LIBO,0.539814250494
DYAD-b3e66e980c26e09b,ACT-CLUVIAN-COHEIRS,ACT-SILIUS,0.476497856039
DYAD-8d939032978b507c,ACT-CLUVIAN-COHEIRS,ACT-TERENTIA,0.518708785675
DYAD-66d71cd7070622dc,ACT-CLUVIAN-COHEIRS,ACT-TIRO,0.387238343516
DYAD-5f7e609d885197cd,ACT-COCCEIUS,ACT-CORNIFICIUS,0.512142613665
DYAD-2673c9a9ab6a377e,ACT-COCCEIUS,ACT-DOLABELLA,0.539814250494
DYAD-0c7c6dd7c7a15eba,ACT-COCCEIUS,ACT-EROS,0.577362322003
DYAD-4d038bf1b6f13667,ACT-COCCEIUS,ACT-FABERIUS,0.49588582288
DYAD-9ab3705404f2d0ef,ACT-COCCEIUS,ACT-FLAMMA,0.539814250494
DYAD-df8695f56b281030,ACT-COCCEIUS,ACT-HERMOGENES,0.577362322003
DYAD-f88d768b95ca4498,ACT-COCCEIUS,ACT-HORTENSIUS,0.539814250494
DYAD-dc5859b71f3ff67a,ACT-COCCEIUS,ACT-IUNIUS,0.512142613665
DYAD-16e9a24af759ad83,ACT-COCCEIUS,ACT-METON,0.577362322003
DYAD-b4bfc38d4ce1b84b,ACT-COCCEIUS,ACT-OFILLIUS,0.539814250494
DYAD-23c86a1af876023e,ACT-COCCEIUS,ACT-PATULCIUS,0.539814250494
DYAD-7a3035c4d5258862,ACT-COCCEIUS,ACT-PUBLILIUS,0.49588582288
DYAD-dd3735107812774c,ACT-COCCEIUS,ACT-SCRIBONIUS-LIBO,0.561778464301
DYAD-fedbc4cae5d4f351,ACT-COCCEIUS,ACT-SILIUS,0.49588582288
DYAD-b4deb62f727b6108,ACT-COCCEIUS,ACT-TERENTIA,0.539814250494
DYAD-c42dbd2f5b7a9824,ACT-COCCEIUS,ACT-TIRO,0.402994477712
DYAD-ddb57f35baecce6e,ACT-CORNIFICIUS,ACT-DOLABELLA,0.492119044622
DYAD-63dcfe61b97c516b,ACT-CORNIFICIUS,ACT-EROS,0.526349561993
DYAD-cf141060b0f3641a,ACT-CORNIFICIUS,ACT-FABERIUS,0.452071906538
DYAD-d38f33bd1dd2eed1,ACT-CORNIFICIUS,ACT-FLAMMA,0.492119044622
DYAD-70e2eec3e18d755c,ACT-CORNIFICIUS,ACT-HERMOGENES,0.526349561993
DYAD-d17588449c6ec977,ACT-CORNIFICIUS,ACT-HORTENSIUS,0.492119044622
DYAD-ee76bf632fd60709,ACT-CORNIFICIUS,ACT-METON,0.526349561993
DYAD-1a75fd31cf0ef2b0,ACT-CORNIFICIUS,ACT-OFILLIUS,0.492119044622
DYAD-97663744eb730704,ACT-CORNIFICIUS,ACT-PATULCIUS,0.492119044622
DYAD-3e242bef35949bf1,ACT-CORNIFICIUS,ACT-PUBLILIUS,0.452071906538
DYAD-fc6b7b89d2d8f2f0,ACT-CORNIFICIUS,ACT-SCRIBONIUS-LIBO,0.512142613665
DYAD-1636aa34fa985586,ACT-CORNIFICIUS,ACT-SILIUS,0.452071906538
DYAD-fe82e170ddf3c024,ACT-CORNIFICIUS,ACT-TERENTIA,0.492119044622
DYAD-8327d3be68cd2521,ACT-CORNIFICIUS,ACT-TIRO,0.367387962022
DYAD-ffc1f355401a96cf,ACT-DOLABELLA,ACT-EROS,0.554788816091
DYAD-b88a9f6f111449b1,ACT-DOLABELLA,ACT-FLAMMA,0.518708785675
DYAD-78d7517ee1f2ae15,ACT-DOLABELLA,ACT-HERMOGENES,0.554788816091
DYAD-a72f5285c940b9fd,ACT-DOLABELLA,ACT-HORTENSIUS,0.518708785675
DYAD-d6e5ce42065d8b17,ACT-DOLABELLA,ACT-IUNIUS,0.492119044622
DYAD-9cb82f2686319e66,ACT-DOLABELLA,ACT-METON,0.554788816091
DYAD-a0ee17f8c3cb10ca,ACT-DOLABELLA,ACT-OFILLIUS,0.518708785675
DYAD-2e1de2abb7c32d97,ACT-DOLABELLA,ACT-PATULCIUS,0.518708785675
DYAD-bf6be1b758d9bf4d,ACT-DOLABELLA,ACT-PUBLILIUS,0.476497856039
DYAD-121d732cbf9236c0,ACT-DOLABELLA,ACT-SCRIBONIUS-LIBO,0.539814250494
DYAD-9473cf60b9e9ca82,ACT-DOLABELLA,ACT-SILIUS,0.476497856039
DYAD-07680d3274a9fe2e,ACT-DOLABELLA,ACT-TERENTIA,0.518708785675
DYAD-a268442640fe9b55,ACT-DOLABELLA,ACT-TIRO,0.387238343516
DYAD-11414e4432290c84,ACT-EROS,ACT-FABERIUS,0.509641804269
DYAD-fa1ac1bd83d74342,ACT-EROS,ACT-FLAMMA,0.554788816091
