observed_pair_id,endpoint_a_actor_id,endpoint_b_actor_id,relation_ids,authorization
O6OBS-814f4d1482fd3a35,ACT-APPULEIUS,ACT-CORNIFICIUS,REL-81f8598300a38dfc,affirmative_unique_unordered_typed_relation
O6OBS-3433efca4b00f4a9,ACT-APPULEIUS,ACT-IUNIUS,REL-f3a040e81d6e30e5,affirmative_unique_unordered_typed_relation
O6OBS-7d8a74f6fbdadb7b,ACT-ATTICUS,ACT-CICERO,REL-179c158df15267f1;REL-1cef5bb4ebae093f;REL-78884b13458b6257;REL-ac568b28fe2dc374,affirmative_unique_unordered_typed_relation
O6OBS-9ac033df969ba6d9,ACT-ATTICUS,ACT-CLUVIAN-COHEIRS,REL-e6094e3700b73681,affirmative_unique_unordered_typed_relation
O6OBS-d6e196c8a5db55cd,ACT-ATTICUS,ACT-PATULCIUS,REL-28324aac6062ef1d,affirmative_unique_unordered_typed_relation
O6OBS-af7c8354feebc5d0,ACT-ATTICUS,ACT-PUBLILIUS,REL-0de603cecefe77cd,affirmative_unique_unordered_typed_relation
O6OBS-c86dd56ca5e30efe,ACT-ATTICUS,ACT-TERENTIA,REL-6c0129c0daf0720e,affirmative_unique_unordered_typed_relation
O6OBS-a878884583b72cb1,ACT-AURELIUS,ACT-CICERO,REL-01207d2d80e66e2f,affirmative_unique_unordered_typed_relation
O6OBS-5ca039e9f1f0a365,ACT-AURELIUS,ACT-TIRO,REL-b93b7c1f805bbca6,affirmative_unique_unordered_typed_relation
O6OBS-d5a73ae5d8183842,ACT-CAERELLIA,ACT-CICERO,REL-209c80d25232cdc7,affirmative_unique_unordered_typed_relation
O6OBS-ea5b5675ade809f2,ACT-CAERELLIA,ACT-FABERIUS,REL-51fbb7707bcc1e36,affirmative_unique_unordered_typed_relation
O6OBS-32e5f01bf8e71588,ACT-CAERELLIA,ACT-METON,REL-2613f164d09b9a87,affirmative_unique_unordered_typed_relation
O6OBS-d32c23e936e44fe7,ACT-CAERELLIA,ACT-TIRO,REL-f1bbc0d12c114ae6,affirmative_unique_unordered_typed_relation
O6OBS-ee3e8dd8cfc186a2,ACT-CATO,ACT-YOUNG-LUCULLUS,REL-99e011c68245672f,affirmative_unique_unordered_typed_relation
O6OBS-c1c234fbe7a066fb,ACT-CICERO,ACT-CLUVIAN-COHEIRS,REL-888229da787ed6bd,affirmative_unique_unordered_typed_relation
O6OBS-4c184ce22f75a6cd,ACT-CICERO,ACT-COCCEIUS,REL-af67aa2f3633e93e,affirmative_unique_unordered_typed_relation
O6OBS-b9abd6d3d1e17d25,ACT-CICERO,ACT-CORNIFICIUS,REL-8c0a5d6b8a28ffe6,affirmative_unique_unordered_typed_relation
O6OBS-34d791b488cb0859,ACT-CICERO,ACT-DOLABELLA,REL-8da5775de7fb8109,affirmative_unique_unordered_typed_relation
O6OBS-82671d375974f243,ACT-CICERO,ACT-EROS,REL-831b8e4b6d19c6c0,affirmative_unique_unordered_typed_relation
O6OBS-824ea4e3525852ac,ACT-CICERO,ACT-FABERIUS,REL-57db44fd4740b95b;REL-7240171c5344bb0e,affirmative_unique_unordered_typed_relation
O6OBS-eafb73fa4b20e42b,ACT-CICERO,ACT-FLAMMA,REL-8efb7e532731e899,affirmative_unique_unordered_typed_relation
O6OBS-5ec203db15a47c9f,ACT-CICERO,ACT-HERMOGENES,REL-72a11a3434a27532,affirmative_unique_unordered_typed_relation
O6OBS-abc19c247d43e840,ACT-CICERO,ACT-HORTENSIUS,REL-cbec0081207c627f,affirmative_unique_unordered_typed_relation
O6OBS-e5847310e90f99c8,ACT-CICERO,ACT-IUNIUS,REL-b897986032798e63,affirmative_unique_unordered_typed_relation
O6OBS-673192a4dc0d2350,ACT-CICERO,ACT-METON,REL-2fd332efe7c15714,affirmative_unique_unordered_typed_relation
O6OBS-31bb50b326dc8940,ACT-CICERO,ACT-OFILLIUS,REL-74eadc47c7b8d80b,affirmative_unique_unordered_typed_relation
O6OBS-d978d01f6aa344f1,ACT-CICERO,ACT-PATULCIUS,REL-9527851281b26455,affirmative_unique_unordered_typed_relation
O6OBS-e7a82c5ddbef84bc,ACT-CICERO,ACT-PUBLILIUS,REL-0cfa2ee6a4e95cee;REL-ee1426120bb3bdbc,affirmative_unique_unordered_typed_relation
O6OBS-a0fb76cc559ec6c0,ACT-CICERO,ACT-SCRIBONIUS-LIBO,REL-ad7dbbd9971b1ddf,affirmative_unique_unordered_typed_relation
O6OBS-1752ec7420ef1a1a,ACT-CICERO,ACT-SILIUS,REL-74a9599e1b521914;REL-91943d46ae8e4346,affirmative_unique_unordered_typed_relation
O6OBS-bf987036f30174b5,ACT-CICERO,ACT-TERENTIA,REL-b88012908bc335e0,affirmative_unique_unordered_typed_relation
O6OBS-ba73eac3389bb270,ACT-CICERO,ACT-TIRO,REL-29250808763ebe83;REL-3ef2e78d89ce42c7;REL-b4879b77c0bcf7db;REL-fa9ed102358c19d6,affirmative_unique_unordered_typed_relation
O6OBS-0a70b67e5c07eca5,ACT-CORNIFICIUS,ACT-CORNIFICIUS-PROCURATORS,REL-bfe9985812447925,affirmative_unique_unordered_typed_relation
O6OBS-9593de7ef3436156,ACT-CORNIFICIUS,ACT-IUNIUS,REL-271f8d6657a90b1d,affirmative_unique_unordered_typed_relation
O6OBS-69b356bf3a269338,ACT-CORNIFICIUS-PROCURATORS,ACT-IUNIUS,REL-ab22dab948594dd4,affirmative_unique_unordered_typed_relation
O6OBS-f2e2bb524e11c488,ACT-DOLABELLA,ACT-FABERIUS,REL-d49becc279f8c2ee,affirmative_unique_unordered_typed_relation
O6OBS-c024ed21c96ca409,ACT-EROS,ACT-HORTENSIUS,REL-ae2fd080661dd487,affirmative_unique_unordered_typed_relation
O6OBS-4492e75b287d3c2d,ACT-FLAMINIUS,ACT-PLANCUS,REL-ae672aed4eed7fdc,affirmative_unique_unordered_typed_relation
O6OBS-f49085b3754ea73d,ACT-FLAMINIUS,ACT-TULLIUS-MONTANUS,REL-13dfaaf684b52030,affirmative_unique_unordered_typed_relation
O6OBS-aee4a20a79b50934,ACT-FLAMMA,ACT-TIRO,REL-3144070c343ec049,affirmative_unique_unordered_typed_relation
O6OBS-c72a0c61cd399d49,ACT-HERMOGENES,ACT-SILIUS,REL-502049cfbfe40e0f,affirmative_unique_unordered_typed_relation
O6OBS-c210ebd3214a1ea4,ACT-OFILLIUS,ACT-TIRO,REL-e1b7b0fb9c54da12,affirmative_unique_unordered_typed_relation
O6OBS-eb10f89519992e89,ACT-PLANCUS,ACT-TULLIUS-MONTANUS,REL-c574786aca068e8e,affirmative_unique_unordered_typed_relation
