stable_actor_id,R,S,G,K,F,h,D,missingness_m,u_visibility_member
ACT-APPULEIUS,1,1,2,0,1,3.178053830348,0.229689361795,0.770310638205,yes
ACT-ATTICUS,4,2,5,0,4,6.109247582764,0.441537259354,0.558462740646,yes
ACT-AURELIUS,1,1,2,1,1,3.871201010908,0.279785597426,0.720214402574,yes
ACT-CAERELLIA,1,1,4,1,1,4.382026634674,0.316704799483,0.683295200517,yes
ACT-CATO,1,1,1,1,1,3.4657359028,0.250481178154,0.749518821846,yes
ACT-CICERO,16,12,21,13,14,13.836312685594,1,0,yes
ACT-CLUVIAN-COHEIRS,1,1,2,1,1,3.871201010908,0.279785597426,0.720214402574,yes
ACT-COCCEIUS,1,1,1,1,1,3.4657359028,0.250481178154,0.749518821846,yes
ACT-CORNIFICIUS,1,1,4,1,1,4.382026634674,0.316704799483,0.683295200517,yes
ACT-CORNIFICIUS-PROCURATORS,1,1,2,0,1,3.178053830348,0.229689361795,0.770310638205,yes
ACT-DOLABELLA,1,1,2,1,1,3.871201010908,0.279785597426,0.720214402574,yes
ACT-EROS,1,1,2,0,1,3.178053830348,0.229689361795,0.770310638205,yes
ACT-FABERIUS,2,2,3,0,2,4.682131227124,0.338394435968,0.661605564032,yes
ACT-FLAMINIUS,1,1,2,0,1,3.178053830348,0.229689361795,0.770310638205,yes
ACT-FLAMMA,1,1,2,1,1,3.871201010908,0.279785597426,0.720214402574,yes
ACT-HERMOGENES,1,1,2,0,1,3.178053830348,0.229689361795,0.770310638205,yes
ACT-HORTENSIUS,1,1,2,1,1,3.871201010908,0.279785597426,0.720214402574,yes
ACT-IUNIUS,1,1,4,1,1,4.382026634674,0.316704799483,0.683295200517,yes
ACT-METON,1,1,2,0,1,3.178053830348,0.229689361795,0.770310638205,yes
ACT-OFILLIUS,1,1,2,1,1,3.871201010908,0.279785597426,0.720214402574,yes
ACT-PATULCIUS,1,1,2,1,1,3.871201010908,0.279785597426,0.720214402574,yes
ACT-PLANCUS,1,1,2,1,1,3.871201010908,0.279785597426,0.720214402574,yes
ACT-PUBLILIUS,2,2,2,1,1,4.682131227124,0.338394435968,0.661605564032,yes
ACT-SCRIBONIUS-LIBO,1,1,1,1,1,3.4657359028,0.250481178154,0.749518821846,yes
ACT-SILIUS,2,2,2,1,1,4.682131227124,0.338394435968,0.661605564032,yes
ACT-TERENTIA,1,1,2,1,1,3.871201010908,0.279785597426,0.720214402574,yes
ACT-TIRO,4,3,5,0,4,6.396929655216,0.462329075714,0.537670924286,yes
ACT-TULLIUS-MONTANUS,2,2,2,1,2,5.087596335232,0.36769885524,0.63230114476,yes
ACT-YOUNG-LUCULLUS,1,1,1,1,1,3.4657359028,0.250481178154,0.749518821846,yes
