probability_rule,node_class,n_c,O_c,M_c,I_c,r_c,w_c,effective_units
product_current,central,2,26,6.322808608908,32.322808608908,16.161404304454,1,2
product_current,high,17,44,135.768515363293,179.768515363293,10.574618550782,0.654313099999,11.12332269998
product_current,medium,4,4,20.916075114039,24.916075114039,6.22901877851,0.385425589334,1.541702357336
product_current,low,6,12,31.792365735842,43.792365735842,7.29872762264,0.451614691715,2.709688150291
bottleneck_min,central,2,26,8.914612033976,34.914612033976,17.457306016988,1,2
bottleneck_min,high,17,44,187.333579167171,231.333579167171,13.607857598069,0.779493559019,13.251390503326
bottleneck_min,medium,4,4,27.78125293311,31.78125293311,7.945313233278,0.455128255502,1.820513022008
bottleneck_min,low,6,12,41.272136407106,53.272136407106,8.878689401184,0.508594475719,3.051566854317
capped_average,central,2,26,10.898917175912,36.898917175912,18.449458587956,1,2
capped_average,high,17,44,194.638739051462,238.638739051462,14.03757288538,0.76086638632,12.934728567441
capped_average,medium,4,4,28.883889972399,32.883889972399,8.2209724931,0.445594240823,1.782376963293
capped_average,low,6,12,43.908569183013,55.908569183013,9.318094863835,0.505060612994,3.030363677962
average_undercoverage,central,2,26,10.898917175912,36.898917175912,18.449458587956,1,2
average_undercoverage,high,17,44,194.638739051462,238.638739051462,14.03757288538,0.76086638632,12.934728567441
average_undercoverage,medium,4,4,28.943378352552,32.943378352552,8.235844588138,0.44640034009,1.78560136036
average_undercoverage,low,6,12,44.130542668805,56.130542668805,9.355090444801,0.507065852377,3.042395114264
union_either_endpoint,central,2,26,15.475025742916,41.475025742916,20.737512871458,1,2
union_either_endpoint,high,17,44,253.508962739632,297.508962739632,17.500527219978,0.843906756247,14.346414856196
union_either_endpoint,medium,4,4,36.970681591065,40.970681591065,10.242670397766,0.4939199055,1.975679621998
union_either_endpoint,low,6,12,56.468719601769,68.468719601769,11.411453266962,0.550280708091,3.301684248549
