calibration_hs,model,parameter,cicero_position,senators_600_mean_hs,activity_probability,participation_adjusted_hs
3677083.333333,lognormal,sigma=0.5,p50,2500008775,0.25,625002194
3677083.333333,lognormal,sigma=0.5,p50,2500008775,0.50,1250004387
3677083.333333,lognormal,sigma=0.5,p50,2500008775,0.75,1875006581
3677083.333333,lognormal,sigma=0.5,p50,2500008775,1.00,2500008775
3677083.333333,lognormal,sigma=0.5,p60,2202560815,0.25,550640204
3677083.333333,lognormal,sigma=0.5,p60,2202560815,0.50,1101280407
3677083.333333,lognormal,sigma=0.5,p60,2202560815,0.75,1651920611
3677083.333333,lognormal,sigma=0.5,p60,2202560815,1.00,2202560815
3677083.333333,lognormal,sigma=0.5,p70,1923399100,0.25,480849775
3677083.333333,lognormal,sigma=0.5,p70,1923399100,0.50,961699550
3677083.333333,lognormal,sigma=0.5,p70,1923399100,0.75,1442549325
3677083.333333,lognormal,sigma=0.5,p70,1923399100,1.00,1923399100
3677083.333333,lognormal,sigma=0.5,p75,1784341370,0.25,446085342
3677083.333333,lognormal,sigma=0.5,p75,1784341370,0.50,892170685
3677083.333333,lognormal,sigma=0.5,p75,1784341370,0.75,1338256027
3677083.333333,lognormal,sigma=0.5,p75,1784341370,1.00,1784341370
3677083.333333,lognormal,sigma=0.5,p80,1641291817,0.25,410322954
3677083.333333,lognormal,sigma=0.5,p80,1641291817,0.50,820645908
3677083.333333,lognormal,sigma=0.5,p80,1641291817,0.75,1230968863
3677083.333333,lognormal,sigma=0.5,p80,1641291817,1.00,1641291817
3677083.333333,lognormal,sigma=0.5,p90,1317213416,0.25,329303354
3677083.333333,lognormal,sigma=0.5,p90,1317213416,0.50,658606708
3677083.333333,lognormal,sigma=0.5,p90,1317213416,0.75,987910062
3677083.333333,lognormal,sigma=0.5,p90,1317213416,1.00,1317213416
3677083.333333,lognormal,sigma=0.7,p50,2818752022,0.25,704688006
3677083.333333,lognormal,sigma=0.7,p50,2818752022,0.50,1409376011
3677083.333333,lognormal,sigma=0.7,p50,2818752022,0.75,2114064017
3677083.333333,lognormal,sigma=0.7,p50,2818752022,1.00,2818752022
3677083.333333,lognormal,sigma=0.7,p60,2360683674,0.25,590170919
3677083.333333,lognormal,sigma=0.7,p60,2360683674,0.50,1180341837
3677083.333333,lognormal,sigma=0.7,p60,2360683674,0.75,1770512756
3677083.333333,lognormal,sigma=0.7,p60,2360683674,1.00,2360683674
3677083.333333,lognormal,sigma=0.7,p70,1952701665,0.25,488175416
3677083.333333,lognormal,sigma=0.7,p70,1952701665,0.50,976350832
3677083.333333,lognormal,sigma=0.7,p70,1952701665,0.75,1464526249
3677083.333333,lognormal,sigma=0.7,p70,1952701665,1.00,1952701665
3677083.333333,lognormal,sigma=0.7,p75,1757955378,0.25,439488845
3677083.333333,lognormal,sigma=0.7,p75,1757955378,0.50,878977689
3677083.333333,lognormal,sigma=0.7,p75,1757955378,0.75,1318466534
3677083.333333,lognormal,sigma=0.7,p75,1757955378,1.00,1757955378
3677083.333333,lognormal,sigma=0.7,p80,1563863525,0.25,390965881
3677083.333333,lognormal,sigma=0.7,p80,1563863525,0.50,781931763
3677083.333333,lognormal,sigma=0.7,p80,1563863525,0.75,1172897644
3677083.333333,lognormal,sigma=0.7,p80,1563863525,1.00,1563863525
3677083.333333,lognormal,sigma=0.7,p90,1149363307,0.25,287340827
3677083.333333,lognormal,sigma=0.7,p90,1149363307,0.50,574681653
3677083.333333,lognormal,sigma=0.7,p90,1149363307,0.75,862022480
3677083.333333,lognormal,sigma=0.7,p90,1149363307,1.00,1149363307
3677083.333333,lognormal,sigma=0.9,p50,3307836141,0.25,826959035
3677083.333333,lognormal,sigma=0.9,p50,3307836141,0.50,1653918070
3677083.333333,lognormal,sigma=0.9,p50,3307836141,0.75,2480877106
3677083.333333,lognormal,sigma=0.9,p50,3307836141,1.00,3307836141
3677083.333333,lognormal,sigma=0.9,p60,2633415964,0.25,658353991
3677083.333333,lognormal,sigma=0.9,p60,2633415964,0.50,1316707982
3677083.333333,lognormal,sigma=0.9,p60,2633415964,0.75,1975061973
3677083.333333,lognormal,sigma=0.9,p60,2633415964,1.00,2633415964
3677083.333333,lognormal,sigma=0.9,p70,2063355993,0.25,515838998
3677083.333333,lognormal,sigma=0.9,p70,2063355993,0.50,1031677997
3677083.333333,lognormal,sigma=0.9,p70,2063355993,0.75,1547516995
3677083.333333,lognormal,sigma=0.9,p70,2063355993,1.00,2063355993
3677083.333333,lognormal,sigma=0.9,p75,1802642181,0.25,450660545
3677083.333333,lognormal,sigma=0.9,p75,1802642181,0.50,901321090
3677083.333333,lognormal,sigma=0.9,p75,1802642181,0.75,1351981635
3677083.333333,lognormal,sigma=0.9,p75,1802642181,1.00,1802642181
3677083.333333,lognormal,sigma=0.9,p80,1550899572,0.25,387724893
3677083.333333,lognormal,sigma=0.9,p80,1550899572,0.50,775449786
3677083.333333,lognormal,sigma=0.9,p80,1550899572,0.75,1163174679
3677083.333333,lognormal,sigma=0.9,p80,1550899572,1.00,1550899572
3677083.333333,lognormal,sigma=0.9,p90,1043831240,0.25,260957810
3677083.333333,lognormal,sigma=0.9,p90,1043831240,0.50,521915620
3677083.333333,lognormal,sigma=0.9,p90,1043831240,0.75,782873430
3677083.333333,lognormal,sigma=0.9,p90,1043831240,1.00,1043831240
3677083.333333,lognormal,sigma=1.0,p50,3637491303,0.25,909372826
3677083.333333,lognormal,sigma=1.0,p50,3637491303,0.50,1818745652
3677083.333333,lognormal,sigma=1.0,p50,3637491303,0.75,2728118478
3677083.333333,lognormal,sigma=1.0,p50,3637491303,1.00,3637491303
3677083.333333,lognormal,sigma=1.0,p60,2823414981,0.25,705853745
3677083.333333,lognormal,sigma=1.0,p60,2823414981,0.50,1411707491
3677083.333333,lognormal,sigma=1.0,p60,2823414981,0.75,2117561236
3677083.333333,lognormal,sigma=1.0,p60,2823414981,1.00,2823414981
3677083.333333,lognormal,sigma=1.0,p70,2153067843,0.25,538266961
3677083.333333,lognormal,sigma=1.0,p70,2153067843,0.50,1076533922
3677083.333333,lognormal,sigma=1.0,p70,2153067843,0.75,1614800883
3677083.333333,lognormal,sigma=1.0,p70,2153067843,1.00,2153067843
3677083.333333,lognormal,sigma=1.0,p75,1852997303,0.25,463249326
3677083.333333,lognormal,sigma=1.0,p75,1852997303,0.50,926498651
3677083.333333,lognormal,sigma=1.0,p75,1852997303,0.75,1389747977
3677083.333333,lognormal,sigma=1.0,p75,1852997303,1.00,1852997303
3677083.333333,lognormal,sigma=1.0,p80,1567799444,0.25,391949861
3677083.333333,lognormal,sigma=1.0,p80,1567799444,0.50,783899722
3677083.333333,lognormal,sigma=1.0,p80,1567799444,0.75,1175849583
3677083.333333,lognormal,sigma=1.0,p80,1567799444,1.00,1567799444
3677083.333333,lognormal,sigma=1.0,p90,1009790286,0.25,252447572
3677083.333333,lognormal,sigma=1.0,p90,1009790286,0.50,504895143
3677083.333333,lognormal,sigma=1.0,p90,1009790286,0.75,757342715
3677083.333333,lognormal,sigma=1.0,p90,1009790286,1.00,1009790286
3677083.333333,lognormal,sigma=1.1,p50,4040200186,0.25,1010050046
3677083.333333,lognormal,sigma=1.1,p50,4040200186,0.50,2020100093
3677083.333333,lognormal,sigma=1.1,p50,4040200186,0.75,3030150139
3677083.333333,lognormal,sigma=1.1,p50,4040200186,1.00,4040200186
3677083.333333,lognormal,sigma=1.1,p60,3057545373,0.25,764386343
3677083.333333,lognormal,sigma=1.1,p60,3057545373,0.50,1528772686
3677083.333333,lognormal,sigma=1.1,p60,3057545373,0.75,2293159029
3677083.333333,lognormal,sigma=1.1,p60,3057545373,1.00,3057545373
3677083.333333,lognormal,sigma=1.1,p70,2269259752,0.25,567314938
3677083.333333,lognormal,sigma=1.1,p70,2269259752,0.50,1134629876
3677083.333333,lognormal,sigma=1.1,p70,2269259752,0.75,1701944814
3677083.333333,lognormal,sigma=1.1,p70,2269259752,1.00,2269259752
3677083.333333,lognormal,sigma=1.1,p75,1923902195,0.25,480975549
3677083.333333,lognormal,sigma=1.1,p75,1923902195,0.50,961951097
3677083.333333,lognormal,sigma=1.1,p75,1923902195,0.75,1442926646
3677083.333333,lognormal,sigma=1.1,p75,1923902195,1.00,1923902195
3677083.333333,lognormal,sigma=1.1,p80,1600811815,0.25,400202954
3677083.333333,lognormal,sigma=1.1,p80,1600811815,0.50,800405907
3677083.333333,lognormal,sigma=1.1,p80,1600811815,0.75,1200608861
3677083.333333,lognormal,sigma=1.1,p80,1600811815,1.00,1600811815
3677083.333333,lognormal,sigma=1.1,p90,986677061,0.25,246669265
3677083.333333,lognormal,sigma=1.1,p90,986677061,0.50,493338531
3677083.333333,lognormal,sigma=1.1,p90,986677061,0.75,740007796
3677083.333333,lognormal,sigma=1.1,p90,986677061,1.00,986677061
3677083.333333,lognormal,sigma=1.3,p50,5136101053,0.25,1284025263
3677083.333333,lognormal,sigma=1.3,p50,5136101053,0.50,2568050527
3677083.333333,lognormal,sigma=1.3,p50,5136101053,0.75,3852075790
3677083.333333,lognormal,sigma=1.3,p50,5136101053,1.00,5136101053
3677083.333333,lognormal,sigma=1.3,p60,3694861267,0.25,923715317
3677083.333333,lognormal,sigma=1.3,p60,3694861267,0.50,1847430634
3677083.333333,lognormal,sigma=1.3,p60,3694861267,0.75,2771145950
3677083.333333,lognormal,sigma=1.3,p60,3694861267,1.00,3694861267
3677083.333333,lognormal,sigma=1.3,p70,2597562682,0.25,649390670
3677083.333333,lognormal,sigma=1.3,p70,2597562682,0.50,1298781341
3677083.333333,lognormal,sigma=1.3,p70,2597562682,0.75,1948172011
3677083.333333,lognormal,sigma=1.3,p70,2597562682,1.00,2597562682
3677083.333333,lognormal,sigma=1.3,p75,2137116663,0.25,534279166
3677083.333333,lognormal,sigma=1.3,p75,2137116663,0.50,1068558331
3677083.333333,lognormal,sigma=1.3,p75,2137116663,0.75,1602837497
3677083.333333,lognormal,sigma=1.3,p75,2137116663,1.00,2137116663
3677083.333333,lognormal,sigma=1.3,p80,1719763254,0.25,429940813
3677083.333333,lognormal,sigma=1.3,p80,1719763254,0.50,859881627
3677083.333333,lognormal,sigma=1.3,p80,1719763254,0.75,1289822440
3677083.333333,lognormal,sigma=1.3,p80,1719763254,1.00,1719763254
3677083.333333,lognormal,sigma=1.3,p90,970714579,0.25,242678645
3677083.333333,lognormal,sigma=1.3,p90,970714579,0.50,485357290
3677083.333333,lognormal,sigma=1.3,p90,970714579,0.75,728035934
3677083.333333,lognormal,sigma=1.3,p90,970714579,1.00,970714579
3677083.333333,lognormal,sigma=1.5,p50,6795728423,0.25,1698932106
3677083.333333,lognormal,sigma=1.5,p50,6795728423,0.50,3397864211
3677083.333333,lognormal,sigma=1.5,p50,6795728423,0.75,5096796317
3677083.333333,lognormal,sigma=1.5,p50,6795728423,1.00,6795728423
3677083.333333,lognormal,sigma=1.5,p60,4647240428,0.25,1161810107
3677083.333333,lognormal,sigma=1.5,p60,4647240428,0.50,2323620214
3677083.333333,lognormal,sigma=1.5,p60,4647240428,0.75,3485430321
3677083.333333,lognormal,sigma=1.5,p60,4647240428,1.00,4647240428
3677083.333333,lognormal,sigma=1.5,p70,3094707742,0.25,773676936
3677083.333333,lognormal,sigma=1.5,p70,3094707742,0.50,1547353871
3677083.333333,lognormal,sigma=1.5,p70,3094707742,0.75,2321030807
3677083.333333,lognormal,sigma=1.5,p70,3094707742,1.00,3094707742
3677083.333333,lognormal,sigma=1.5,p75,2470843565,0.25,617710891
3677083.333333,lognormal,sigma=1.5,p75,2470843565,0.50,1235421783
3677083.333333,lognormal,sigma=1.5,p75,2470843565,0.75,1853132674
3677083.333333,lognormal,sigma=1.5,p75,2470843565,1.00,2470843565
3677083.333333,lognormal,sigma=1.5,p80,1922953704,0.25,480738426
3677083.333333,lognormal,sigma=1.5,p80,1922953704,0.50,961476852
3677083.333333,lognormal,sigma=1.5,p80,1922953704,0.75,1442215278
3677083.333333,lognormal,sigma=1.5,p80,1922953704,1.00,1922953704
3677083.333333,lognormal,sigma=1.5,p90,993985049,0.25,248496262
3677083.333333,lognormal,sigma=1.5,p90,993985049,0.50,496992525
3677083.333333,lognormal,sigma=1.5,p90,993985049,0.75,745488787
3677083.333333,lognormal,sigma=1.5,p90,993985049,1.00,993985049
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p50,3580211015,0.25,895052754
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p50,3580211015,0.50,1790105508
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p50,3580211015,0.75,2685158261
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p50,3580211015,1.00,3580211015
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p60,3080651046,0.25,770162762
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p60,3080651046,0.50,1540325523
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p60,3080651046,0.75,2310488285
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p60,3080651046,1.00,3080651046
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p70,2530516454,0.25,632629114
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p70,2530516454,0.50,1265258227
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p70,2530516454,0.75,1897887341
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p70,2530516454,1.00,2530516454
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p75,2230282685,0.25,557570671
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p75,2230282685,0.50,1115141342
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p75,2230282685,0.75,1672712013
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p75,2230282685,1.00,2230282685
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p80,1907801982,0.25,476950496
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p80,1907801982,0.50,953900991
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p80,1907801982,0.75,1430851487
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p80,1907801982,1.00,1907801982
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p90,1162633120,0.25,290658280
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p90,1162633120,0.50,581316560
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p90,1162633120,0.75,871974840
3677083.333333,truncated_pareto,alpha=1.2;cap=50000000,p90,1162633120,1.00,1162633120
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p50,3391164313,0.25,847791078
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p50,3391164313,0.50,1695582157
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p50,3391164313,0.75,2543373235
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p50,3391164313,1.00,3391164313
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p60,2956298683,0.25,739074671
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p60,2956298683,0.50,1478149342
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p60,2956298683,0.75,2217224012
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p60,2956298683,1.00,2956298683
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p70,2471300625,0.25,617825156
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p70,2471300625,0.50,1235650312
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p70,2471300625,0.75,1853475468
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p70,2471300625,1.00,2471300625
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p75,2203291158,0.25,550822790
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p75,2203291158,0.50,1101645579
3677083.333333,truncated_pareto,alpha=1.4;cap=50000000,p75,2203291158,0.75,1652468369
