actor_occurrence_id,record_id,exposure_group_id,source_citation,raw_label,stable_actor_id,stable_actor_label,alias_status,resolution_status,placeholder_status,party_role,financial_role,date_role,scope_role,candidate_endpoint_authorized,candidate_endpoint_authority,candidate_endpoint_reason,o6_actor_authorized
OCC-VRB-STAGED-0091-BORROWER-01,VRB-STAGED-0091,EG-CLEAN-0002,Cic. Att. 13.6.2,Cato the Younger,ACT-CATO,cato,resolved_current_label,resolved,no,borrower,yes,45-44 BCE,strict_private,yes,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,yes
OCC-VRB-STAGED-0091-LENDER-01,VRB-STAGED-0091,EG-CLEAN-0002,Cic. Att. 13.6.2,young Lucullus,ACT-YOUNG-LUCULLUS,young lucullus,resolved_current_label,resolved,no,lender,yes,45-44 BCE,strict_private,yes,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,yes
OCC-ATT-PILOT-0026-BORROWER-01,ATT-PILOT-0026,EG-CLEAN-0009,Att. 12.51,Cicero,ACT-CICERO,cicero,resolved_current_label,resolved,no,borrower,yes,45-44 BCE,strict_private,yes,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,yes
OCC-ATT-PILOT-0026-LENDER-01,ATT-PILOT-0026,EG-CLEAN-0009,Att. 12.51,Caerellia,ACT-CAERELLIA,caerellia,resolved_current_label,resolved,no,lender,yes,45-44 BCE,strict_private,yes,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,yes
OCC-ATT-PILOT-0026-THIRD_PARTY-01,ATT-PILOT-0026,EG-CLEAN-0009,Att. 12.51,Tiro,ACT-TIRO,tiro,resolved_current_label,resolved,no,third_party,yes,45-44 BCE,strict_private,yes,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,yes
OCC-ATT-PILOT-0026-THIRD_PARTY-02,ATT-PILOT-0026,EG-CLEAN-0009,Att. 12.51,Meton,ACT-METON,meton,resolved_current_label,resolved,no,third_party,yes,45-44 BCE,strict_private,yes,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,yes
OCC-ATT-PILOT-0026-THIRD_PARTY-03,ATT-PILOT-0026,EG-CLEAN-0009,Att. 12.51,Faberius,ACT-FABERIUS,faberius,resolved_current_label,resolved,no,third_party,yes,45-44 BCE,strict_private,yes,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,yes
OCC-ATT-PILOT-0017-BORROWER-01,ATT-PILOT-0017,EG-CLEAN-0012,Att. 16.6,Cicero,ACT-CICERO,cicero,resolved_current_label,resolved,no,borrower,yes,45-44 BCE,strict_private,yes,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,yes
OCC-ATT-PILOT-0017-LENDER-01,ATT-PILOT-0017,EG-CLEAN-0012,Att. 16.6,Cluvian coheirs,ACT-CLUVIAN-COHEIRS,cluvian coheirs,resolved_current_label,resolved,no,lender,yes,45-44 BCE,strict_private,yes,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,yes
OCC-ATT-PILOT-0017-THIRD_PARTY-01,ATT-PILOT-0017,EG-CLEAN-0012,Att. 16.6,Cluvian estate,PLH-e6ace6b73e88d8db,cluvian estate,placeholder_token,resolved_placeholder,yes,third_party,no,45-44 BCE,strict_private,no,revision5_occurrence_rule,placeholder_context_or_invalid_basis,no
OCC-ATT-PILOT-0017-THIRD_PARTY-02,ATT-PILOT-0017,EG-CLEAN-0012,Att. 16.6,Atticus as manager,ACT-ATTICUS,atticus,resolved_current_label,resolved,no,third_party,yes,45-44 BCE,strict_private,yes,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,yes
OCC-ATT-PILOT-0029-BORROWER-01,ATT-PILOT-0029,EG-CLEAN-0014,Att. 16.2,Cicero,ACT-CICERO,cicero,resolved_current_label,resolved,no,borrower,yes,45-44 BCE,strict_private,yes,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,yes
OCC-ATT-PILOT-0029-LENDER-01,ATT-PILOT-0029,EG-CLEAN-0014,Att. 16.2,Hortensius,ACT-HORTENSIUS,hortensius,resolved_current_label,resolved,no,lender,yes,45-44 BCE,strict_private,yes,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,yes
OCC-ATT-PILOT-0029-THIRD_PARTY-01,ATT-PILOT-0029,EG-CLEAN-0014,Att. 16.2,Eros,ACT-EROS,eros,resolved_current_label,resolved,no,third_party,yes,45-44 BCE,strict_private,yes,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,yes
OCC-VRB-STAGED-0076-BORROWER-01,VRB-STAGED-0076,EG-CLEAN-0016,Cic. Att. 14.18.2; Att. 14.20.2,Cicero,ACT-CICERO,cicero,resolved_current_label,resolved,no,borrower,yes,45-44 BCE,strict_private,yes,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,yes
OCC-VRB-STAGED-0076-LENDER-01,VRB-STAGED-0076,EG-CLEAN-0016,Cic. Att. 14.18.2; Att. 14.20.2,Patulcius,ACT-PATULCIUS,patulcius,resolved_current_label,resolved,no,lender,yes,45-44 BCE,strict_private,yes,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,yes
OCC-VRB-STAGED-0076-THIRD_PARTY-01,VRB-STAGED-0076,EG-CLEAN-0016,Cic. Att. 14.18.2; Att. 14.20.2,Atticus,ACT-ATTICUS,atticus,resolved_current_label,resolved,no,third_party,yes,45-44 BCE,strict_private,yes,revision5_occurrence_rule,financial_named_occurrence_on_valid_seed_basis,yes
