exposure_group_id,member_record_ids,selected_amount_hs,amount_semantics,permitted_families,calibration_eligible,evidence_amount_instance_ids,stock_counting_rule,include_probability,decision_authority
,SEC-STAGED-0027,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,0.75,revision5_group_amount_authority
EG-CLEAN-0001,SEC-STAGED-0064,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,0.75,revision5_group_amount_authority
EG-CLEAN-0002,SEC-STAGED-0091,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,1,revision5_group_amount_authority
EG-CLEAN-0003,FAM-PILOT-0006,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,0.75,revision5_group_amount_authority
EG-CLEAN-0004,FAM-PILOT-0002,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,0.75,revision5_group_amount_authority
EG-CLEAN-0006,SEC-STAGED-0077,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,0.75,revision5_group_amount_authority
EG-CLEAN-0007,SEC-STAGED-0072,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,0.75,revision5_group_amount_authority
EG-CLEAN-0008,ATT-PILOT-0010,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,0.75,revision5_group_amount_authority
EG-CLEAN-0009,ATT-PILOT-0026,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,1,revision5_group_amount_authority
EG-CLEAN-0010,ATT-PILOT-0003,800000,account_debt,paper;O5-T4;O5-T5;O5-6,no,ATT-PILOT-0003-AMT-01,one_selected_group_amount_max_or_reviewed_special,0.75,revision5_group_amount_authority
EG-CLEAN-0011,SEC-STAGED-0103,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,0.75,revision5_group_amount_authority
EG-CLEAN-0012,ATT-PILOT-0017,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,1,revision5_group_amount_authority
EG-CLEAN-0013,ATT-PILOT-0016,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,0.75,revision5_group_amount_authority
EG-CLEAN-0014,ATT-PILOT-0029,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,1,revision5_group_amount_authority
EG-CLEAN-0015,ATT-PILOT-0023,30000,debt_principal,paper;O5-T4;O5-T5;O5-6,no,ATT-PILOT-0023-AMT-01,one_selected_group_amount_max_or_reviewed_special,0.75,revision5_group_amount_authority
EG-CLEAN-0016,SEC-STAGED-0076,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,0.9,revision5_group_amount_authority
EG-CLEAN-0017,SEC-STAGED-0075,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,0.75,revision5_group_amount_authority
EG-CLEAN-0019,SEC-STAGED-0030,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,0.75,revision5_group_amount_authority
EG-CLEAN-0022,ATT-PILOT-0036,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,1,revision5_group_amount_authority
EG-CLEAN-0023,ATT-PILOT-0034,2200000,account_debt,paper;O5-T4;O5-T5;O5-6,no,ATT-PILOT-0034-AMT-01,one_selected_group_amount_max_or_reviewed_special,0.75,revision5_group_amount_authority
EG-CLEAN-0024,ATT-PILOT-0013,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,0.75,revision5_group_amount_authority
EG-CLEAN-0025,ATT-PILOT-0014,200000,debt_principal,paper;O5-T4;O5-T5;O5-6;calibration,yes,ATT-PILOT-0014-AMT-01,one_selected_group_amount_max_or_reviewed_special,1,revision5_group_amount_authority
EG-CLEAN-0027,SEC-STAGED-0053,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,0.9,revision5_group_amount_authority
EG-CLEAN-0028,ATT-PILOT-0025,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,0.9,revision5_group_amount_authority
EG-CLEAN-0029,ATT-PILOT-0037,,missing,paper;O5-T4;O5-T5;O5-6,no,,one_selected_group_amount_max_or_reviewed_special,0.75,revision5_group_amount_authority
