record_id,exposure_group_id,paper_action,paper_edited
ATT-PILOT-0001,EG-CLEAN-0058,regenerate_after_post_calculation_audit,no
ATT-PILOT-0002,EG-CLEAN-0056,regenerate_after_post_calculation_audit,no
ATT-PILOT-0003,EG-CLEAN-0010,regenerate_after_post_calculation_audit,no
ATT-PILOT-0004,EG-CLEAN-0066,regenerate_after_post_calculation_audit,no
ATT-PILOT-0005,EG-CLEAN-0045,regenerate_after_post_calculation_audit,no
ATT-PILOT-0006,EG-CLEAN-0050,regenerate_after_post_calculation_audit,no
ATT-PILOT-0007,EG-CLEAN-0042,regenerate_after_post_calculation_audit,no
ATT-PILOT-0009,EG-CLEAN-0040,regenerate_after_post_calculation_audit,no
ATT-PILOT-0010,EG-CLEAN-0008,regenerate_after_post_calculation_audit,no
ATT-PILOT-0011,O5EG-0016,regenerate_after_post_calculation_audit,no
ATT-PILOT-0012,O5EG-0016,regenerate_after_post_calculation_audit,no
ATT-PILOT-0013,EG-CLEAN-0024,regenerate_after_post_calculation_audit,no
ATT-PILOT-0014,EG-CLEAN-0025,regenerate_after_post_calculation_audit,no
ATT-PILOT-0016,EG-CLEAN-0013,regenerate_after_post_calculation_audit,no
ATT-PILOT-0017,EG-CLEAN-0012,regenerate_after_post_calculation_audit,no
ATT-PILOT-0018,EG-CLEAN-0118,regenerate_after_post_calculation_audit,no
ATT-PILOT-0019,EG-CLEAN-0064,regenerate_after_post_calculation_audit,no
ATT-PILOT-0020,EG-CLEAN-0088,regenerate_after_post_calculation_audit,no
ATT-PILOT-0021,EG-CLEAN-0067,regenerate_after_post_calculation_audit,no
ATT-PILOT-0022,EG-CLEAN-0032,regenerate_after_post_calculation_audit,no
ATT-PILOT-0023,EG-CLEAN-0015,regenerate_after_post_calculation_audit,no
ATT-PILOT-0024,EG-CLEAN-0049,regenerate_after_post_calculation_audit,no
ATT-PILOT-0025,EG-CLEAN-0028,regenerate_after_post_calculation_audit,no
ATT-PILOT-0026,EG-CLEAN-0009,regenerate_after_post_calculation_audit,no
