variant_name,actor_type,node_count,total_weighted_degree,mean_weighted_degree,total_component_size,mean_component_size,total_pagerank,mean_pagerank,total_betweenness,mean_betweenness,top_nodes_by_pagerank,top_nodes_by_betweenness
cicero_removed_graph,civic_body,10,18.000000,1.800000,320.000000,32.000000,0.052897,0.005290,0.000156,0.000016,Salamis (0.008931); Arpinum (0.005969); Greek provincial communities (0.005594); cities in Asia (0.005594); city of Byllis (0.005594),Salamis (0.000156); Arpinum (0); Greek provincial communities (0); cities in Asia (0); city of Byllis (0)
cicero_removed_graph,collective_group,14,27.000000,1.928571,535.000000,38.214286,0.091722,0.006552,0.007577,0.000541,amici (0.01123); publicani (0.01035); Sicilian tax company (0.008368); Brutus Albinus friends (0.007263); creditores (0.007263),amici (0.007403); borrowers under Verres' scheme (0.000104); Sicilian tax company (7e-05); publicani (0); Brutus Albinus friends (0)
cicero_removed_graph,family_or_household,3,23.000000,7.666667,219.000000,73.000000,0.044362,0.014787,0.133024,0.044341,Quintus Cicero (0.0327); Terentia (0.007735); Tullia (0.003926),Quintus Cicero (0.101); Terentia (0.03206); Tullia (0)
cicero_removed_graph,freedman_or_agent,3,15.000000,5.000000,219.000000,73.000000,0.024174,0.008058,0.068032,0.022677,Tiro (0.01251); Philotimus (0.007735); Eros (0.003926),Tiro (0.04999); Eros (0.0147); Philotimus (0.003336)
cicero_removed_graph,individual,103,242.000000,2.349515,4125.000000,40.048544,0.735715,0.007143,0.559865,0.005436,Atticus (0.02702); L. Titius Strabo (0.02531); Brutus (0.02295); Plancus (0.02003); Scribonius Libo (0.01687),Atticus (0.2121); Dolabella (0.04118); Faberius (0.03555); Pompey (0.03535); Hermogenes (0.02836)
cicero_removed_graph,professional_financier,3,11.000000,3.666667,91.000000,30.333333,0.029005,0.009668,0.035606,0.011869,Cluvius (0.02115); Matinius (0.003926); Scaptius (0.003926),Cluvius (0.03561); Matinius (0); Scaptius (0)
cicero_removed_graph,public_body,4,8.000000,2.000000,91.000000,22.750000,0.022128,0.005532,0.000035,0.000009,Roman state (0.01035); Roman state grain funds (0.003926); Senate (0.003926); provincial governor (0.003926),Roman state grain funds (3.5e-05); Roman state (0); Senate (0); provincial governor (0)
ciceronian_period_cicero_removed_graph,civic_body,10,18.000000,1.800000,316.000000,31.600000,0.057143,0.005714,0.000176,0.000018,Salamis (0.009653); Arpinum (0.006424); Greek provincial communities (0.006046); cities in Asia (0.006046); city of Byllis (0.006046),Salamis (0.000176); Arpinum (0); Greek provincial communities (0); cities in Asia (0); city of Byllis (0)
ciceronian_period_cicero_removed_graph,collective_group,12,24.000000,2.000000,453.000000,37.750000,0.090284,0.007524,0.008416,0.000701,amici (0.01184); publicani (0.01119); Sicilian tax company (0.009044); Brutus Albinus friends (0.007849); creditores (0.007849),amici (0.008221); borrowers under Verres' scheme (0.000117); Sicilian tax company (7.8e-05); publicani (0); Brutus Albinus friends (0)
ciceronian_period_cicero_removed_graph,family_or_household,3,23.000000,7.666667,216.000000,72.000000,0.045423,0.015141,0.142377,0.047459,Quintus Cicero (0.03285); Terentia (0.008329); Tullia (0.004243),Quintus Cicero (0.1069); Terentia (0.03553); Tullia (0)
