actor_type,mechanism_type,analysis_loan_type,scope_type,edge_count,direct_edge_count,third_party_context_edge_count,actor_count,record_count,top_actors,date_periods,confidence_values
civic_body,account/nomina,account/nomina claim,public,5,1,4,1,1,Salamis (5),ciceronian_period,high
civic_body,account/nomina,debt repayment,public,3,1,2,1,1,Arpinum (3),ciceronian_period,high
civic_body,ambiguous,ambiguous financial obligation,public,2,1,1,1,1,Sardis (2),ciceronian_period,medium
civic_body,political/civic finance,credit arrangement,public,2,1,1,1,1,cities in Asia (2),ciceronian_period,high
civic_body,political/civic finance,interest/usury,public,1,0,1,1,1,multiple provincial communities (1),ciceronian_period,medium
civic_body,recommendation,ambiguous financial obligation,civic,2,1,1,1,1,city of Dyrrhachium (2),ciceronian_period,low
civic_body,recommendation,ambiguous financial obligation,public,2,1,1,1,1,city of Sicyon (2),ciceronian_period,medium
civic_body,refinancing/versura,refinancing/versura,comparative,1,1,0,1,1,Athens (1),ciceronian_period,high
civic_body,repayment pressure,debt repayment,public,3,1,2,1,1,Nicaea (3),ciceronian_period,high
civic_body,surety,interest/usury,public,3,1,2,1,1,Greek provincial communities (3),ciceronian_period,medium
civic_body,surety,debt repayment,public,3,1,2,1,1,city of Byllis (3),ciceronian_period,high
collective_group,account/nomina,account/nomina claim,household,6,2,4,2,2,Cluvian coheirs (3); Tullia's creditors (3),ciceronian_period,high; low
collective_group,ambiguous,ambiguous financial obligation,ambiguous,3,2,1,1,2,amici (3),ciceronian_period,low
collective_group,ambiguous,ambiguous financial obligation,comparative,1,1,0,1,1,creditores (1),ciceronian_period,medium
collective_group,ambiguous,credit arrangement,comparative,1,1,0,1,1,his amici (1),ciceronian_period,medium
collective_group,political/civic finance,personal loan,comparative,9,4,5,3,2,borrowers under Verres' scheme (4); Sicilian tax company (3); friends of Cato (2),ciceronian_period; undated,high
collective_group,political/civic finance,ambiguous financial obligation,public,1,0,1,1,1,Brutus Albinus friends (1),ciceronian_period,medium
collective_group,recommendation,debt repayment,public,1,0,1,1,1,Cluvius procurators (1),ciceronian_period,high
collective_group,repayment pressure,debt repayment,public,4,0,4,2,2,Cluvius procurators (2); procuratores (2),ciceronian_period,high
collective_group,repayment pressure,personal loan,comparative,1,1,0,1,1,Crassus' amici (1),undated,medium
collective_group,surety,interest/usury,public,3,1,2,1,1,publicani (3),ciceronian_period,medium
collective_group,surety,surety/guarantee,comparative,2,1,1,1,1,Antony creditors (2),ciceronian_period,high
estate,account/nomina,surety/guarantee,public,1,1,0,1,1,Scapula estate (1),ciceronian_period,low
family_or_household,account/nomina,account/nomina claim,household,3,1,2,2,2,Tullia (2); Terentia (1),ciceronian_period,low; medium
family_or_household,account/nomina,debt repayment,household,2,0,2,1,1,Terentia (2),ciceronian_period,medium
family_or_household,ambiguous,ambiguous financial obligation,ambiguous,5,1,4,1,2,Quintus Cicero (5),ciceronian_period,low
family_or_household,ambiguous,ambiguous financial obligation,household,2,0,2,1,1,Tullia (2),ciceronian_period,low
family_or_household,direct loan,personal loan,private,1,0,1,1,1,Quintus Cicero (1),ciceronian_period,high
family_or_household,political/civic finance,ambiguous financial obligation,public,2,0,2,1,1,Quintus Cicero (2),ciceronian_period,low
family_or_household,political/civic finance,ambiguous financial obligation,ambiguous,2,1,1,1,1,Quintus Cicero (2),ciceronian_period,low
