variant_name,metric,metric_rank,node_id,canonical_name,actor_type,value,centrality_rank,direct_record_count,third_party_record_count
cicero_removed_graph,weighted_degree,1,actor_atticus,Atticus,individual,27.000000,2,8,18
cicero_removed_graph,weighted_degree,2,actor_quintus_cicero,Quintus Cicero,family_or_household,16.000000,1,7,2
cicero_removed_graph,weighted_degree,3,actor_brutus,Brutus,individual,8.000000,4,2,1
cicero_removed_graph,weighted_degree,4,actor_tiro,Tiro,freedman_or_agent,8.000000,13,2,5
cicero_removed_graph,weighted_degree,5,actor_cluvius,Cluvius,professional_financier,7.000000,5,4,0
cicero_removed_graph,weighted_degree,6,actor_egnatius,Egnatius,individual,7.000000,8,1,1
cicero_removed_graph,weighted_degree,7,actor_caesar,Caesar,individual,5.000000,11,6,1
cicero_removed_graph,weighted_degree,8,actor_terentia,Terentia,family_or_household,5.000000,36,2,3
cicero_removed_graph,weighted_degree,9,actor_caecilius,Caecilius,individual,5.000000,40,2,0
cicero_removed_graph,weighted_degree,10,actor_plancus,Plancus,individual,4.000000,6,2,0
cicero_removed_graph,weighted_degree,11,actor_pompey,Pompey,individual,4.000000,9,3,1
cicero_removed_graph,weighted_degree,12,actor_caerellia,Caerellia,individual,4.000000,10,2,0
cicero_removed_graph,weighted_degree,13,actor_a_caninius_satyrus,A. Caninius Satyrus,individual,4.000000,18,1,0
cicero_removed_graph,weighted_degree,14,actor_p_varius,P. Varius,individual,4.000000,19,1,0
cicero_removed_graph,weighted_degree,15,actor_salamis,Salamis,civic_body,4.000000,29,1,0
cicero_removed_graph,weighted_degree,16,actor_curius,Curius,individual,4.000000,30,2,1
cicero_removed_graph,weighted_degree,17,actor_borrowers_under_verres_scheme,borrowers under Verres' scheme,collective_group,4.000000,61,1,0
cicero_removed_graph,weighted_degree,18,actor_silius,Silius,individual,4.000000,66,2,2
cicero_removed_graph,weighted_degree,19,actor_marc_antony,Marc Antony,individual,4.000000,83,1,1
cicero_removed_graph,weighted_degree,20,actor_eros,Eros,freedman_or_agent,4.000000,91,0,4
cicero_removed_graph,component_size,1,actor_quintus_cicero,Quintus Cicero,family_or_household,73.000000,1,7,2
cicero_removed_graph,component_size,2,actor_atticus,Atticus,individual,73.000000,2,8,18
cicero_removed_graph,component_size,3,actor_cluvius,Cluvius,professional_financier,73.000000,5,4,0
cicero_removed_graph,component_size,4,actor_plancus,Plancus,individual,73.000000,6,2,0
cicero_removed_graph,component_size,5,actor_scribonius_libo,Scribonius Libo,individual,73.000000,7,1,0
cicero_removed_graph,component_size,6,actor_egnatius,Egnatius,individual,73.000000,8,1,1
cicero_removed_graph,component_size,7,actor_pompey,Pompey,individual,73.000000,9,3,1
cicero_removed_graph,component_size,8,actor_caerellia,Caerellia,individual,73.000000,10,2,0
cicero_removed_graph,component_size,9,actor_caesar,Caesar,individual,73.000000,11,6,1
cicero_removed_graph,component_size,10,actor_tiro,Tiro,freedman_or_agent,73.000000,13,2,5
cicero_removed_graph,component_size,11,actor_p_valerius,P. Valerius,individual,73.000000,14,1,0
cicero_removed_graph,component_size,12,actor_oppius,Oppius,individual,73.000000,15,1,1
cicero_removed_graph,component_size,13,actor_amici,amici,collective_group,73.000000,16,2,0
cicero_removed_graph,component_size,14,actor_dolabella,Dolabella,individual,73.000000,17,3,0
cicero_removed_graph,component_size,15,actor_young_t_pinnius,young T. Pinnius,individual,73.000000,25,1,0
cicero_removed_graph,component_size,16,actor_p_sallustius,P. Sallustius,individual,73.000000,27,1,0
cicero_removed_graph,component_size,17,actor_castricius,Castricius,individual,73.000000,28,1,0
cicero_removed_graph,component_size,18,actor_curius,Curius,individual,73.000000,30,2,1
cicero_removed_graph,component_size,19,actor_l_tullius_montanus,L. Tullius Montanus,individual,73.000000,31,2,0
cicero_removed_graph,component_size,20,actor_caepio,Caepio,individual,73.000000,34,1,0
cicero_removed_graph,pagerank,1,actor_quintus_cicero,Quintus Cicero,family_or_household,0.032701,1,7,2
cicero_removed_graph,pagerank,2,actor_atticus,Atticus,individual,0.027022,2,8,18
cicero_removed_graph,pagerank,3,actor_l_titius_strabo,L. Titius Strabo,individual,0.025305,3,1,0
cicero_removed_graph,pagerank,4,actor_brutus,Brutus,individual,0.022947,4,2,1
cicero_removed_graph,pagerank,5,actor_cluvius,Cluvius,professional_financier,0.021153,5,4,0
cicero_removed_graph,pagerank,6,actor_plancus,Plancus,individual,0.020030,6,2,0
cicero_removed_graph,pagerank,7,actor_scribonius_libo,Scribonius Libo,individual,0.016866,7,1,0
cicero_removed_graph,pagerank,8,actor_egnatius,Egnatius,individual,0.015224,8,1,1
