analysis_loan_type,mechanism_type,scope_type,edge_count,direct_edge_count,third_party_context_edge_count,third_party_edge_share,actor_count,record_count,top_actors
refinancing/versura,refinancing/versura,private,25,5,20,0.800,13,5,Cicero (10); Atticus (7); Egnatius (7); Quintus Cicero (7); Oppius (3); Dolabella (2); Hortensius (2); Eros (2)
account/nomina claim,account/nomina,household,22,6,16,0.727,13,5,Cicero (13); Tiro (5); Atticus (4); Caerellia (4); Cluvian coheirs (3); Tullia's creditors (3); Aurelius (2); Ofillius (2)
debt repayment,repayment pressure,private,18,5,13,0.722,12,4,Cicero (5); Caecilius (5); A. Caninius Satyrus (4); P. Varius (4); L. Lucullus (3); L. Pontius (3); P. Scipio (3); Atticus (2)
account/nomina claim,account/nomina,private,14,6,8,0.571,9,6,Cicero (10); Atticus (6); Patulcius (2); Philotimus (2); Publilius (2); Balbus (2); Dolabella (2); Avianius (1)
debt repayment,repayment pressure,public,14,4,10,0.714,11,4,Cluvius (5); Cicero (3); Nicaea (3); young T. Pinnius (3); Philocles (3); Cluvius procurators (2); Minucius Thermus (2); Mylasa and Alabanda (2)
ambiguous financial obligation,ambiguous,ambiguous,13,5,8,0.615,8,5,Cicero (7); Quintus Cicero (5); Atticus (4); Castricius (3); amici (3); Philargyrus (2); Clodius Hermogenes (1); Messalla Niger (1)
account/nomina claim,account/nomina,public,12,2,10,0.833,8,2,Brutus (5); Salamis (5); Cicero (4); Appius Claudius (2); Camillus (2); Philotimus (2); Matinius (2); Scaptius (2)
surety/guarantee,surety,comparative,12,4,8,0.667,12,4,Heraclides (3); Hermippus (3); C. Scribonius Curio (2); Antony creditors (2); Marc Antony (2); D. Iunius Brutus (2); P. Iunius (2); Roman state (2)
personal loan,political/civic finance,comparative,11,4,7,0.636,9,3,borrowers under Verres' scheme (4); Roman state grain funds (3); L. Carpinatius (3); Sicilian tax company (3); Verres (3); friends of Cato (2); Cato the Younger (2); Pliny (1)
surety/guarantee,surety,private,11,2,9,0.818,10,3,Cornificius (4); Iunius (4); Appuleius (2); Cicero (2); Flaminius (2); L. Tullius Montanus (2); Plancus (2); Pompey (2)
credit arrangement,ambiguous,private,10,7,3,0.300,8,3,Cicero (8); Silius (3); Hermogenes (3); Faberius (2); Caecilius (1); Considius (1); Q. Axius (1); Selicius (1)
credit arrangement,account/nomina,ambiguous,6,1,5,0.833,5,2,Cicero (4); Atticus (3); Eros (2); Xeno (2); Caelius (1)
ambiguous financial obligation,recommendation,public,6,1,5,0.833,6,3,Cicero (4); C. Octavius (2); M. Laenius (2); city of Sicyon (2); Cluvius (1); Silius (1)
debt repayment,account/nomina,public,5,1,4,0.800,4,1,Arpinum (3); Cicero (3); Atticus (2); Eros (2)
debt repayment,account/nomina,household,5,1,4,0.800,6,2,Terentia (2); Flaminius (2); Cicero (2); Tiro (2); Atticus (1); Camillus (1)
personal loan,direct loan,private,5,3,2,0.400,5,4,Cicero (5); Atticus (2); Crassus (1); Pompey (1); Quintus Cicero (1)
ambiguous financial obligation,recommendation,ambiguous,5,1,4,0.800,4,1,Buthrotum (3); Plancus (3); Ateius Capito (2); Cicero (2)
debt repayment,recommendation,private,5,1,4,0.800,4,1,L. Titius Strabo (3); P. Cornelius (3); Brutus (2); Cicero (2)
debt repayment,repayment pressure,household,5,1,4,0.800,4,1,Cicero (3); P. Sallustius (3); Cn. Sallustius (2); Terentia (2)
debt repayment,surety,private,5,2,3,0.600,4,1,Cicero (3); Quintus Cicero (3); Caepio (2); M. Antonius (2)
interest/usury,surety,public,5,1,4,0.800,4,1,Greek provincial communities (3); publicani (3); Cicero (2); Servilius (2)
debt repayment,surety,public,5,1,4,0.800,4,1,L. Lucceius (3); city of Byllis (3); Cicero (2); L. Culleolus (2)
ambiguous financial obligation,account/nomina,public,4,0,4,1.000,3,1,Cicero (4); Balbus (2); Oppius (2)
credit arrangement,political/civic finance,public,4,2,2,0.500,5,2,Senate (2); Brutus (2); cities in Asia (2); Cato the Younger (1); young Lucullus (1)
ambiguous financial obligation,political/civic finance,ambiguous,4,2,2,0.500,4,2,Cicero (3); Atticus (2); Quintus Cicero (2); P. Sulla (1)
surety/guarantee,surety,ambiguous,4,1,3,0.750,4,2,Cicero (3); Egnatius (2); Scribonius Libo (2); P. Magius Chilo (1)
personal loan,account/nomina,household,3,1,2,0.667,3,1,Atticus (2); Curius (2); Tiro (2)
debt repayment,account/nomina,private,3,1,2,0.667,3,1,Eros (2); Cicero (2); Funisulanus (2)
ambiguous financial obligation,ambiguous,household,3,1,2,0.667,3,1,Cicero (2); Atticus (2); Tullia (2)
ambiguous financial obligation,ambiguous,public,3,1,2,0.667,3,1,Cicero (2); M. Anneius (2); Sardis (2)
ambiguous financial obligation,political/civic finance,public,3,0,3,1.000,5,2,Quintus Cicero (2); Brutus Albinus (1); Brutus Albinus friends (1); Caesar (1); Pompey (1)
ambiguous financial obligation,recommendation,civic,3,1,2,0.667,3,1,Cicero (2); C. Flavius (2); city of Dyrrhachium (2)
personal loan,refinancing/versura,comparative,3,1,2,0.667,3,1,Fulvia (2); Atticus (2); Marc Antony (2)
credit arrangement,repayment pressure,private,3,1,2,0.667,3,1,Cocceius (2); Cicero (2); Varro (2)
debt repayment,repayment pressure,comparative,3,1,2,0.667,3,1,P. Quinctius (2); Scapula heirs (2); Sex. Naevius (2)
personal loan,repayment pressure,private,3,1,2,0.667,3,1,Q. Axius (2); Cicero (2); Q. Axius' son (2)
account/nomina claim,account/nomina,civic,2,0,2,1.000,3,1,Caerellia (2); Cicero (1); provincial governor (1)
credit arrangement,account/nomina,household,2,1,1,0.500,2,1,Curius (2); Tiro (2)
personal loan,direct loan,comparative,2,2,0,0.000,4,2,Caelius (1); Clodia (1); Volteius Mena (1); Marcius Philippus (1)
ambiguous financial obligation,political/civic finance,comparative,2,2,0,0.000,3,2,Caesar (2); C. Scribonius Curio (1); L. Aemilius Paullus (1)
debt repayment,recommendation,public,2,0,2,1.000,3,1,Cluvius (2); Atticus (1); Cluvius procurators (1)
refinancing/versura,refinancing/versura,household,2,0,2,1.000,4,2,Terentia (1); L. Tullius Montanus (1); Tiro (1); Cicero (1)
debt repayment,repayment pressure,political,2,1,1,0.500,2,1,Atticus (2); Quintus Cicero (2)
ambiguous financial obligation,surety,public,2,0,2,1.000,3,1,P. Valerius (2); M. Anneius (1); Q. Paconius Lepta (1)
ambiguous financial obligation,surety,household,2,0,2,1.000,3,1,Cicero (2); Terentia (1); Tullia (1)
credit arrangement,account/nomina,private,1,0,1,1.000,2,1,Atticus (1); Cicero (1)
