canonical_name,node_id,high_stress_record_count,all_stress_record_count,average_stress_score,max_stress_score,refinancing_record_count,repayment_pressure_record_count,strict_slice_high_stress_count,role_mix,mechanism_mix,stress_context_edge_count,third_party_dependency_record_count,supporting_records
Cicero,actor_cicero,3,31,1.613,4,4,5,2,borrower (31),account/nomina (15); refinancing/versura (4); ambiguous (4); repayment pressure (4); direct loan (2); surety (2),80,25,ATT-PILOT-0003; ATT-PILOT-0010; ATT-PILOT-0012; ATT-PILOT-0013; ATT-PILOT-0014; ATT-PILOT-0016; ATT-PILOT-0017; ATT-PILOT-0019; ATT-PILOT-0021; ATT-PILOT-0023; ATT-PILOT-0026; ATT-PILOT-0029; ATT-PILOT-0030; ATT-PILOT-0034; ATT-PILOT-0035; ATT-PILOT-0036; FAM-PILOT-0002; FAM-PILOT-0004; FAM-PILOT-0006; SEC-STAGED-0002; SEC-STAGED-0006; SEC-STAGED-0025; SEC-STAGED-0030; SEC-STAGED-0061; SEC-STAGED-0072; SEC-STAGED-0074; SEC-STAGED-0075; SEC-STAGED-0076; SEC-STAGED-0077; SEC-STAGED-0092; SEC-STAGED-0095
Quintus Cicero,actor_quintus_cicero,1,7,2.000,5,1,3,1,borrower (7),repayment pressure (2); political/civic finance (2); refinancing/versura (1); surety (1); ambiguous (1),16,6,ATT-PILOT-0005; QFR-PILOT-0001; QFR-PILOT-0002; SEC-STAGED-0045; SEC-STAGED-0047; SEC-STAGED-0048; SEC-STAGED-0073
Dolabella,actor_dolabella,1,2,4.000,5,1,2,0,borrower (2),repayment pressure (1); refinancing/versura (1),3,2,ATT-PILOT-0028; ATT-PILOT-0037
L. Tullius Montanus,actor_l_tullius_montanus,1,2,3.000,5,1,1,1,borrower (2),refinancing/versura (1); surety (1),2,2,ATT-PILOT-0018; ATT-PILOT-0027
Heraclides,actor_heraclides,1,1,5.000,5,1,1,0,borrower (1),surety (1),1,1,SEC-STAGED-0040
Fulvia,actor_fulvia,1,1,4.000,4,1,0,0,borrower (1),refinancing/versura (1),1,1,SEC-STAGED-0008
Philotimus,actor_philotimus,0,2,3.000,3,0,2,0,borrower (2),account/nomina (2),4,2,ATT-PILOT-0020; ATT-PILOT-0031
Terentia,actor_terentia,0,2,1.000,1,0,0,0,borrower (2),account/nomina (2),6,1,ATT-PILOT-0024; ATT-PILOT-0032
Tiro,actor_tiro,0,2,1.000,1,0,0,0,borrower (2),account/nomina (2),10,2,ATT-PILOT-0006; SEC-STAGED-0027
Athens,actor_athens,0,1,3.000,3,1,0,0,borrower (1),refinancing/versura (1),0,0,SEC-STAGED-0015
Caecilius,actor_caecilius,0,1,3.000,3,0,1,0,borrower (1),repayment pressure (1),3,1,ATT-PILOT-0001
Cocceius,actor_cocceius,0,1,3.000,3,0,1,0,borrower (1),repayment pressure (1),1,1,SEC-STAGED-0053
Cornificius,actor_cornificius,0,1,3.000,3,0,1,0,borrower (1),surety (1),3,1,ATT-PILOT-0025
Flaminius,actor_flaminius,0,1,3.000,3,0,1,0,borrower (1),account/nomina (1),3,1,FAM-PILOT-0005
Mylasa and Alabanda,actor_mylasa_and_alabanda,0,1,3.000,3,0,1,0,borrower (1),repayment pressure (1),1,1,SEC-STAGED-0078
Nicaea,actor_nicaea,0,1,3.000,3,0,1,0,borrower (1),repayment pressure (1),2,1,SEC-STAGED-0055
P. Quinctius,actor_p_quinctius,0,1,3.000,3,0,1,0,borrower (1),repayment pressure (1),1,1,SEC-STAGED-0094
Philocles,actor_philocles,0,1,3.000,3,0,1,0,borrower (1),repayment pressure (1),2,1,SEC-STAGED-0058
Q. Axius' son,actor_q_axius_son,0,1,3.000,3,0,1,0,borrower (1),repayment pressure (1),1,1,ATT-PILOT-0007
Salamis,actor_salamis,0,1,3.000,3,0,1,0,borrower (1),account/nomina (1),4,1,SEC-STAGED-0020
Scribonius Libo,actor_scribonius_libo,0,1,3.000,3,0,1,0,borrower (1),surety (1),1,1,SEC-STAGED-0038
Ariobarzanes III,actor_ariobarzanes_iii,0,1,2.000,2,0,1,0,borrower (1),repayment pressure (1),0,0,SEC-STAGED-0068
Crassus' amici,actor_crassus_amici,0,1,2.000,2,0,1,0,borrower (1),repayment pressure (1),0,0,SEC-STAGED-0082
Brutus Albinus friends,actor_brutus_albinus_friends,0,1,1.000,1,0,0,0,borrower (1),political/civic finance (1),1,1,SEC-STAGED-0044
Buthrotum,actor_buthrotum,0,1,1.000,1,0,0,0,borrower (1),recommendation (1),2,1,SEC-STAGED-0064
