canonical_name,node_id,high_stress_record_count,all_stress_record_count,average_stress_score,max_stress_score,refinancing_record_count,repayment_pressure_record_count,strict_slice_high_stress_count,role_mix,mechanism_mix,stress_context_edge_count,third_party_dependency_record_count,supporting_records
Cicero,actor_cicero,1,11,2.636,5,1,8,0,lender (11),account/nomina (6); repayment pressure (3); refinancing/versura (1); surety (1),80,10,ATT-PILOT-0007; ATT-PILOT-0020; ATT-PILOT-0022; ATT-PILOT-0028; ATT-PILOT-0031; ATT-PILOT-0033; ATT-PILOT-0037; FAM-PILOT-0005; SEC-STAGED-0038; SEC-STAGED-0053; SEC-STAGED-0061
Atticus,actor_atticus,1,8,2.125,4,3,1,0,lender (8),refinancing/versura (3); account/nomina (1); repayment pressure (1); political/civic finance (1); direct loan (1); ambiguous (1),36,6,ATT-PILOT-0019; SEC-STAGED-0008; SEC-STAGED-0015; SEC-STAGED-0025; SEC-STAGED-0045; SEC-STAGED-0047; SEC-STAGED-0092; SEC-STAGED-0095
C. Fufius,actor_c_fufius,1,1,5.000,5,1,1,0,lender (1),surety (1),1,1,SEC-STAGED-0040
Egnatius,actor_egnatius,1,1,5.000,5,1,1,1,lender (1),refinancing/versura (1),8,1,ATT-PILOT-0005
M. Fufius,actor_m_fufius,1,1,5.000,5,1,1,0,lender (1),surety (1),1,1,SEC-STAGED-0040
Hortensius,actor_hortensius,1,1,4.000,4,1,0,1,lender (1),refinancing/versura (1),1,1,ATT-PILOT-0029
Oppius,actor_oppius,1,1,4.000,4,1,0,0,lender (1),refinancing/versura (1),4,1,ATT-PILOT-0003
Cluvius,actor_cluvius,0,3,2.333,3,0,2,0,lender (3),repayment pressure (2); recommendation (1),6,3,SEC-STAGED-0058; SEC-STAGED-0062; SEC-STAGED-0078
Brutus,actor_brutus,0,2,2.000,3,0,1,0,lender (2),political/civic finance (1); account/nomina (1),7,2,CIC-SRC-EXP-0003; SEC-STAGED-0020
Publilius,actor_publilius,0,2,1.500,2,0,1,0,lender (2),repayment pressure (1); account/nomina (1),1,1,ATT-PILOT-0030; ATT-PILOT-0035
Caerellia,actor_caerellia,0,2,1.000,1,0,0,0,lender (2),account/nomina (2),5,2,ATT-PILOT-0026; SEC-STAGED-0070
Curius,actor_curius,0,2,1.000,1,0,0,0,lender (2),account/nomina (2),2,2,ATT-PILOT-0006; SEC-STAGED-0027
Plancus,actor_plancus,0,2,1.000,1,0,0,0,lender (2),surety (1); recommendation (1),3,2,ATT-PILOT-0027; SEC-STAGED-0064
A. Caninius Satyrus,actor_a_caninius_satyrus,0,1,3.000,3,0,1,0,lender (1),repayment pressure (1),3,1,ATT-PILOT-0001
Caelius,actor_caelius,0,1,3.000,3,0,1,0,lender (1),account/nomina (1),1,1,SEC-STAGED-0069
Iunius,actor_iunius,0,1,3.000,3,0,1,0,lender (1),surety (1),3,1,ATT-PILOT-0025
Numerius of Puteoli,actor_numerius_of_puteoli,0,1,3.000,3,0,1,0,lender (1),repayment pressure (1),1,1,SEC-STAGED-0074
P. Sallustius,actor_p_sallustius,0,1,3.000,3,0,1,0,lender (1),repayment pressure (1),2,1,ATT-PILOT-0023
P. Varius,actor_p_varius,0,1,3.000,3,0,1,0,lender (1),repayment pressure (1),3,1,ATT-PILOT-0001
Scapula heirs,actor_scapula_heirs,0,1,3.000,3,0,1,0,lender (1),repayment pressure (1),1,1,SEC-STAGED-0094
Tullia's creditors,actor_tullia_s_creditors,0,1,3.000,3,0,1,0,lender (1),account/nomina (1),2,1,SEC-STAGED-0077
young T. Pinnius,actor_young_t_pinnius,0,1,3.000,3,0,1,0,lender (1),repayment pressure (1),2,1,SEC-STAGED-0055
Caesar,actor_caesar,0,1,2.000,2,0,1,0,lender (1),repayment pressure (1),2,0,ATT-PILOT-0021
Crassus,actor_crassus,0,1,2.000,2,0,1,0,lender (1),repayment pressure (1),1,0,SEC-STAGED-0082
Antony creditors,actor_antony_creditors,0,1,1.000,1,0,0,0,lender (1),surety (1),1,1,SEC-STAGED-0036
