variant_name,centrality_rank,node_id,canonical_name,weighted_degree,direct_edge_degree,context_edge_degree,component_size,pagerank,betweenness
stress_records_graph,1,actor_cicero,Cicero,118,36,82,104,0.16273505979817363,0.5289497525375388
stress_records_graph,2,actor_atticus,Atticus,45,8,37,104,0.0578333981866845,0.08806923356541672
stress_records_graph,3,actor_quintus_cicero,Quintus Cicero,22,6,16,104,0.03022503189991889,0.05308139697452673
stress_records_graph,4,actor_tiro,Tiro,13,2,11,104,0.017280353439624394,0.006412213740458013
stress_records_graph,5,actor_brutus,Brutus,9,2,7,104,0.016305580255521385,0.04145625366999413
stress_records_graph,6,actor_cluvius,Cluvius,8,2,6,104,0.014353831010731607,0.05830886670581327
stress_records_graph,7,actor_egnatius,Egnatius,9,1,8,104,0.013092111354933511,0.016901546290859274
stress_records_graph,8,actor_eros,Eros,8,0,8,104,0.011191306151334873,0.0009590917987864554
stress_records_graph,9,actor_verres,Verres,4,0,4,6,0.010215134059660728,0.0005089058524173028
stress_records_graph,10,actor_caecilius,Caecilius,5,2,3,6,0.010013332117854207,0.0001467997651203758
stress_records_graph,11,actor_terentia,Terentia,7,1,6,104,0.00997671704070894,0.005689399658865299
stress_records_graph,12,actor_borrowers_under_verres_scheme,borrowers under Verres' scheme,4,2,2,6,0.009626940487616954,0.00011743981209630063
stress_records_graph,13,actor_caerellia,Caerellia,6,1,5,104,0.00948152809930344,0.012223527109023294
stress_records_graph,14,actor_salamis,Salamis,5,1,4,104,0.009270228627782724,0.016911332941867294
stress_records_graph,15,actor_heraclides,Heraclides,3,2,1,4,0.008945841392649267,5.871990604815032e-05
stress_records_graph,16,actor_hermippus,Hermippus,3,0,3,4,0.008945841392649267,5.871990604815032e-05
stress_records_graph,17,actor_faberius,Faberius,6,1,5,104,0.008549214469566326,0.0002935995302407516
stress_records_graph,18,actor_plancus,Plancus,5,2,3,104,0.008408980844914439,0.009395464586304282
stress_records_graph,19,actor_a_caninius_satyrus,A. Caninius Satyrus,4,1,3,6,0.008221472686214789,0.00011743981209630065
stress_records_graph,20,actor_p_varius,P. Varius,4,1,3,6,0.008221472686214789,0.00011743981209630065
stress_records_graph,21,actor_silius,Silius,5,1,4,104,0.008202801245495136,0.0002935995302407516
stress_records_graph,22,actor_dolabella,Dolabella,6,3,3,104,0.008192040602315704,0.0008318653356821297
stress_records_graph,23,actor_philotimus,Philotimus,6,2,4,104,0.008170424073525355,0.0003229594832648267
stress_records_graph,24,actor_marc_antony,Marc Antony,4,1,3,104,0.008153446023883211,0.023722842043452732
stress_records_graph,25,actor_cato_the_younger,Cato the Younger,2,1,1,2,0.007575757575757576,0.0
stress_records_graph,26,actor_d_iunius_brutus,D. Iunius Brutus,2,0,2,3,0.007575757575757576,0.0
stress_records_graph,27,actor_p_iunius,P. Iunius,2,1,1,3,0.007575757575757576,0.0
stress_records_graph,28,actor_p_quinctius,P. Quinctius,2,1,1,3,0.007575757575757576,0.0
stress_records_graph,29,actor_roman_state,Roman state,2,1,1,3,0.007575757575757576,0.0
stress_records_graph,30,actor_scapula_heirs,Scapula heirs,2,1,1,3,0.007575757575757576,0.0
stress_records_graph,31,actor_sex_naevius,Sex. Naevius,2,0,2,3,0.007575757575757576,0.0
stress_records_graph,32,actor_friends_of_cato,friends of Cato,2,1,1,2,0.007575757575757576,0.0
stress_records_graph,33,actor_brutus_albinus,Brutus Albinus,1,0,1,2,0.007575757575757576,0.0
stress_records_graph,34,actor_brutus_albinus_friends,Brutus Albinus friends,1,0,1,2,0.007575757575757576,0.0
stress_records_graph,35,actor_p_sittius,P. Sittius,1,0,1,2,0.007575757575757576,0.0
stress_records_graph,36,actor_p_sulla,P. Sulla,1,0,1,2,0.007575757575757576,0.0
stress_records_graph,37,actor_l_carpinatius,L. Carpinatius,3,1,2,6,0.007450637451932866,7.829320806420042e-05
stress_records_graph,38,actor_sicilian_tax_company,Sicilian tax company,3,1,2,6,0.007450637451932866,7.829320806420042e-05
stress_records_graph,39,actor_roman_state_grain_funds,Roman state grain funds,3,0,3,6,0.00740411637927134,3.914660403210021e-05
stress_records_graph,40,actor_pompey,Pompey,3,0,3,104,0.007352439022463395,0.019542543970024893
stress_records_graph,41,actor_cornificius,Cornificius,4,1,3,104,0.007078446166924831,0.005930710510863183
stress_records_graph,42,actor_iunius,Iunius,4,1,3,104,0.007078446166924831,0.005930710510863183
stress_records_graph,43,actor_tullia,Tullia,5,0,5,104,0.007048635018405824,0.0
stress_records_graph,44,actor_oppius,Oppius,5,1,4,104,0.006902981214374377,0.0
stress_records_graph,45,actor_l_lucullus,L. Lucullus,3,0,3,6,0.006332755988087224,2.935995302407516e-05
stress_records_graph,46,actor_l_pontius,L. Pontius,3,0,3,6,0.006332755988087224,2.935995302407516e-05
stress_records_graph,47,actor_p_scipio,P. Scipio,3,0,3,6,0.006332755988087224,2.935995302407516e-05
stress_records_graph,48,actor_flaminius,Flaminius,4,1,3,104,0.006318690343080952,0.003574364566730983
stress_records_graph,49,actor_m_anneius,M. Anneius,3,1,2,104,0.006263683444519025,0.015689399658865306
stress_records_graph,50,actor_q_axius,Q. Axius,4,0,4,104,0.006259323632967156,0.00045018594636915245
stress_records_graph,51,actor_philocles,Philocles,3,1,2,104,0.006228867368491839,5.871990604815032e-05
stress_records_graph,52,actor_c_fufius,C. Fufius,2,1,1,4,0.006205673758865882,0.0
stress_records_graph,53,actor_m_fufius,M. Fufius,2,1,1,4,0.006205673758865882,0.0
stress_records_graph,54,actor_caesar,Caesar,3,1,2,104,0.006007740104179096,0.023722842043452732
stress_records_graph,55,actor_crassus,Crassus,2,1,1,104,0.005956110691176321,0.011978860833822666
stress_records_graph,56,actor_cluvius_procurators,Cluvius procurators,3,0,3,104,0.005951398752833483,0.0
stress_records_graph,57,actor_camillus,Camillus,4,1,3,104,0.005889001425984506,6.263456645136034e-05
stress_records_graph,58,actor_greek_provincial_communities,Greek provincial communities,3,1,2,104,0.005866680683482086,0.005930710510863183
stress_records_graph,59,actor_l_lucceius,L. Lucceius,3,1,2,104,0.005866680683482086,0.005930710510863183
stress_records_graph,60,actor_city_of_byllis,city of Byllis,3,1,2,104,0.005866680683482086,0.005930710510863183
stress_records_graph,61,actor_publicani,publicani,3,1,2,104,0.005866680683482086,0.005930710510863183
stress_records_graph,62,actor_balbus,Balbus,4,0,4,104,0.005813634927151392,0.0
stress_records_graph,63,actor_curius,Curius,4,2,2,104,0.005618380035017249,0.0
stress_records_graph,64,actor_buthrotum,Buthrotum,3,1,2,104,0.005489687729735689,0.005762380113525151
stress_records_graph,65,actor_q_paconius_lepta,Q. Paconius Lepta,2,0,2,104,0.005439220291840816,0.0005284791544333529
stress_records_graph,66,actor_l_titius_strabo,L. Titius Strabo,3,1,2,104,0.005370110518455583,0.0
stress_records_graph,67,actor_p_cornelius,P. Cornelius,3,1,2,104,0.005370110518455583,0.0
stress_records_graph,68,actor_p_valerius,P. Valerius,2,0,2,104,0.0052227425255012795,0.0044738976036685935
stress_records_graph,69,actor_nicaea,Nicaea,3,1,2,104,0.005167093818563747,0.0
stress_records_graph,70,actor_young_t_pinnius,young T. Pinnius,3,1,2,104,0.0051670938185637465,0.0
stress_records_graph,71,actor_l_tullius_montanus,L. Tullius Montanus,3,1,2,104,0.005120070549620864,0.00015658641612840084
stress_records_graph,72,actor_p_sallustius,P. Sallustius,3,1,2,104,0.005117450834245358,8.807985907222549e-05
stress_records_graph,73,actor_antony_creditors,Antony creditors,2,1,1,104,0.004989514643558983,0.0
