variant_name,node_id,canonical_name,full_graph_rank,stress_graph_rank,rank_delta,full_weighted_degree,stress_weighted_degree,degree_delta,full_betweenness,stress_betweenness,betweenness_delta
high_stress_graph,actor_cicero,Cicero,1,1,0,129,10,-119.0,0.546355,0.252381,-0.293974
high_stress_graph,actor_atticus,Atticus,2,2,0,45,8,-37.0,0.057619,0.154762,0.097143
high_stress_graph,actor_quintus_cicero,Quintus Cicero,3,3,0,22,7,-15.0,0.021426,0.109524,0.088098
high_stress_graph,actor_egnatius,Egnatius,7,4,3,9,7,-2.0,0.014212,0.109524,0.095312
high_stress_graph,actor_heraclides,Heraclides,19,5,14,3,3,0.0,0.000044,0.002381,0.002337
high_stress_graph,actor_hermippus,Hermippus,20,6,14,3,3,0.0,0.000044,0.002381,0.002337
high_stress_graph,actor_l_tullius_montanus,L. Tullius Montanus,82,7,75,3,1,-2.0,0.000118,0.000000,-0.000118
high_stress_graph,actor_terentia,Terentia,13,8,5,7,1,-6.0,0.004542,0.000000,-0.004542
high_stress_graph,actor_oppius,Oppius,56,9,47,5,3,-2.0,0.000000,0.007143,0.007143
high_stress_graph,actor_c_fufius,C. Fufius,62,10,52,2,2,0.0,0.000000,0.000000,0.000000
high_stress_graph,actor_m_fufius,M. Fufius,63,11,52,2,2,0.0,0.000000,0.000000,0.000000
high_stress_graph,actor_eros,Eros,8,12,-4,8,2,-6.0,0.000603,0.000000,-0.000603
high_stress_graph,actor_hortensius,Hortensius,121,13,108,2,2,0.0,0.000000,0.000000,0.000000
high_stress_graph,actor_fulvia,Fulvia,114,14,100,2,2,0.0,0.000000,0.000000,0.000000
high_stress_graph,actor_marc_antony,Marc Antony,47,15,32,4,2,-2.0,0.007691,0.000000,-0.007691
high_stress_graph,actor_philotimus,Philotimus,24,16,8,6,2,-4.0,0.000206,0.000000,-0.000206
high_stress_graph,actor_dolabella,Dolabella,23,17,6,6,2,-4.0,0.000508,0.000000,-0.000508
high_stress_graph,actor_l_ligus,L. Ligus,122,18,104,2,2,0.0,0.000000,0.000000,0.000000
high_stress_graph,actor_pomponia,Pomponia,123,19,104,2,2,0.0,0.000000,0.000000,0.000000
high_stress_graph,actor_q_axius,Q. Axius,48,20,28,5,2,-3.0,0.000221,0.000000,-0.000221
high_stress_graph,actor_q_titinius,Q. Titinius,124,21,103,2,2,0.0,0.000000,0.000000,0.000000
high_stress_graph,actor_tiro,Tiro,4,22,-18,13,1,-12.0,0.005277,0.000000,-0.005277
refinancing_graph,actor_cicero,Cicero,1,1,0,129,11,-118.0,0.546355,0.244589,-0.301766
refinancing_graph,actor_atticus,Atticus,2,2,0,45,10,-35.0,0.057619,0.205628,0.148009
refinancing_graph,actor_egnatius,Egnatius,7,3,4,9,7,-2.0,0.014212,0.108225,0.094013
refinancing_graph,actor_quintus_cicero,Quintus Cicero,3,4,-1,22,7,-15.0,0.021426,0.108225,0.086799
refinancing_graph,actor_heraclides,Heraclides,19,5,14,3,3,0.0,0.000044,0.002165,0.002120
refinancing_graph,actor_hermippus,Hermippus,20,6,14,3,3,0.0,0.000044,0.002165,0.002120
refinancing_graph,actor_l_tullius_montanus,L. Tullius Montanus,82,7,75,3,1,-2.0,0.000118,0.000000,-0.000118
refinancing_graph,actor_terentia,Terentia,13,8,5,7,1,-6.0,0.004542,0.000000,-0.004542
refinancing_graph,actor_oppius,Oppius,56,9,47,5,3,-2.0,0.000000,0.008658,0.008658
refinancing_graph,actor_c_fufius,C. Fufius,62,10,52,2,2,0.0,0.000000,0.000000,0.000000
refinancing_graph,actor_m_fufius,M. Fufius,63,11,52,2,2,0.0,0.000000,0.000000,0.000000
refinancing_graph,actor_fulvia,Fulvia,114,12,102,2,2,0.0,0.000000,0.000000,0.000000
refinancing_graph,actor_marc_antony,Marc Antony,47,13,34,4,2,-2.0,0.007691,0.000000,-0.007691
refinancing_graph,actor_eros,Eros,8,14,-6,8,2,-6.0,0.000603,0.000000,-0.000603
refinancing_graph,actor_hortensius,Hortensius,121,15,106,2,2,0.0,0.000000,0.000000,0.000000
refinancing_graph,actor_philotimus,Philotimus,24,16,8,6,2,-4.0,0.000206,0.000000,-0.000206
refinancing_graph,actor_dolabella,Dolabella,23,17,6,6,2,-4.0,0.000508,0.000000,-0.000508
refinancing_graph,actor_l_ligus,L. Ligus,122,18,104,2,2,0.0,0.000000,0.000000,0.000000
refinancing_graph,actor_pomponia,Pomponia,123,19,104,2,2,0.0,0.000000,0.000000,0.000000
refinancing_graph,actor_q_axius,Q. Axius,48,20,28,5,2,-3.0,0.000221,0.000000,-0.000221
refinancing_graph,actor_q_titinius,Q. Titinius,124,21,103,2,2,0.0,0.000000,0.000000,0.000000
refinancing_graph,actor_athens,Athens,152,22,130,1,1,0.0,0.000000,0.000000,0.000000
refinancing_graph,actor_tiro,Tiro,4,23,-19,13,1,-12.0,0.005277,0.000000,-0.005277
repayment_pressure_graph,actor_cicero,Cicero,1,1,0,129,35,-94.0,0.546355,0.367524,-0.178831
repayment_pressure_graph,actor_atticus,Atticus,2,2,0,45,12,-33.0,0.057619,0.007598,-0.050021
repayment_pressure_graph,actor_egnatius,Egnatius,7,3,4,9,9,0.0,0.014212,0.032632,0.018420
repayment_pressure_graph,actor_quintus_cicero,Quintus Cicero,3,4,-1,22,9,-13.0,0.021426,0.030002,0.008576
repayment_pressure_graph,actor_cluvius,Cluvius,6,5,1,8,5,-3.0,0.050464,0.003799,-0.046665
repayment_pressure_graph,actor_brutus,Brutus,5,6,-1,9,5,-4.0,0.035806,0.030684,-0.005122
repayment_pressure_graph,actor_salamis,Salamis,18,7,11,5,5,0.0,0.014702,0.030684,0.015982
repayment_pressure_graph,actor_caecilius,Caecilius,11,8,3,6,5,-1.0,0.050000,0.000731,-0.049269
repayment_pressure_graph,actor_heraclides,Heraclides,19,9,10,3,3,0.0,0.000044,0.000292,0.000248
repayment_pressure_graph,actor_hermippus,Hermippus,20,10,10,3,3,0.0,0.000044,0.000292,0.000248
repayment_pressure_graph,actor_philocles,Philocles,59,11,48,3,3,0.0,0.000044,0.000292,0.000248
repayment_pressure_graph,actor_a_caninius_satyrus,A. Caninius Satyrus,25,12,13,4,4,0.0,0.000088,0.000584,0.000496
repayment_pressure_graph,actor_p_varius,P. Varius,26,13,13,4,4,0.0,0.000088,0.000584,0.000496
repayment_pressure_graph,actor_cornificius,Cornificius,54,14,40,4,4,0.0,0.005121,0.010520,0.005399
repayment_pressure_graph,actor_iunius,Iunius,55,15,40,4,4,0.0,0.005121,0.010520,0.005399
repayment_pressure_graph,actor_p_quinctius,P. Quinctius,29,16,13,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_scapula_heirs,Scapula heirs,31,17,14,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_sex_naevius,Sex. Naevius,32,18,14,2,2,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_crassus,Crassus,58,19,39,3,1,-2.0,0.010331,0.000000,-0.010331
repayment_pressure_graph,actor_crassus_amici,Crassus' amici,135,20,115,1,1,0.0,0.000000,0.000000,0.000000
repayment_pressure_graph,actor_dolabella,Dolabella,23,21,2,6,4,-2.0,0.000508,0.000292,-0.000215
repayment_pressure_graph,actor_philotimus,Philotimus,24,22,2,6,4,-2.0,0.000206,0.000292,0.000086
repayment_pressure_graph,actor_q_axius,Q. Axius,48,23,25,5,4,-1.0,0.000221,0.001461,0.001240
repayment_pressure_graph,actor_terentia,Terentia,13,24,-11,7,3,-4.0,0.004542,0.021625,0.017083
repayment_pressure_graph,actor_p_sallustius,P. Sallustius,80,25,55,3,3,0.0,0.000066,0.000584,0.000518
repayment_pressure_graph,actor_nicaea,Nicaea,84,26,58,3,3,0.0,0.000000,0.010520,0.010520
repayment_pressure_graph,actor_young_t_pinnius,young T. Pinnius,83,27,56,3,3,0.0,0.000000,0.010520,0.010520
