claim_id,value,unit,source_artifact
canonical_records,114,records,data/canonical/cicero_credit_records.csv
ciceronian_direct_edges,89,edges,build/analysis/graphs/tables/graph_variants/ciceronian_period_graph.csv
ciceronian_direct_records,80,records,build/analysis/graphs/tables/graph_variants/ciceronian_period_graph.csv
ciceronian_direct_largest_component,53,actors,build/analysis/graphs/tables/graph_variants/ciceronian_period_graph.csv
ciceronian_context_edges,202,edges,build/analysis/graphs/tables/graph_variants/ciceronian_period_graph.csv
ciceronian_context_records,78,records,build/analysis/graphs/tables/graph_variants/ciceronian_period_graph.csv
ciceronian_context_largest_component,98,actors,build/analysis/graphs/tables/graph_variants/ciceronian_period_graph.csv
cicero_removed_edges,164,edges,build/analysis/graphs/tables/graph_variants/ciceronian_period_cicero_removed_graph.csv
cicero_removed_records,76,records,build/analysis/graphs/tables/graph_variants/ciceronian_period_cicero_removed_graph.csv
cicero_removed_largest_component,72,actors,build/analysis/graphs/tables/graph_variants/ciceronian_period_cicero_removed_graph.csv
o5_t4_hs,6295833.333333,HS,results/official/headline_values.csv
o5_t5_missing_edge_increment_hs,35307457.374002,HS,results/official/headline_values.csv
o5_t5_hs,41603290.707335,HS,results/official/headline_values.csv
o5_accepted_share_percent,15.1,percent,results/official/headline_values.csv
o5_modeled_share_percent,84.9,percent,results/official/headline_values.csv
o56_hs,3677083.333333,HS,results/official/headline_values.csv
o6w_t5a_hs,1436684112,HS,results/official/headline_values.csv
o5_imputed_amount_hs,362500,HS,results/official/o5_6_k_sensitivity.csv
o5_candidate_count,199,dyads,results/official/objective_05_06/recalculation_v5/intermediate/o6_internal_candidate_expected_incidence.csv
o5_expected_edge_mass,97.39988241104,expected edges,results/official/o5_6_k_sensitivity.csv
o6_effective_population,17.374713207607,central-equivalent actors,results/official/o5_6_k_sensitivity.csv
o6_multiplier,34.532944102773,multiplier,results/official/o5_6_k_sensitivity.csv
distribution_benchmarks,3637491303;1852997303;1009790286;3236738926;2176817519;1270518917,HS,results/official/o5_6_distribution_values.csv
distribution_selected_min_hs,1009790286,HS,results/official/o5_6_distribution_values.csv
distribution_selected_max_hs,3637491303,HS,results/official/o5_6_distribution_values.csv
distribution_grid_rows,78,scenarios,results/official/o5_6_distribution_grid.csv
distribution_grid_at_least_1b,75,scenarios,results/official/o5_6_distribution_grid.csv
participation_grid_rows,312,scenarios,results/official/o5_6_participation_sensitivity.csv
participation_grid_100m_to_999m,122,scenarios,results/official/o5_6_participation_sensitivity.csv
participation_grid_min_hs,242678645,HS,results/official/o5_6_participation_sensitivity.csv
k_grid_rows,46,scenarios,results/official/o5_6_k_sensitivity.csv
probability_rule_rows,5,scenarios,results/official/o5_missing_edge_probability_rule_sensitivity.csv
denominator_policy_rows,3,scenarios,results/official/o6_denominator_policy_sensitivity.csv
density_discount_rows,9,scenarios,results/official/o6_density_discount_sensitivity.csv
o6_ratio_to_600m,2.394474,ratio,results/official/o6_density_discount_sensitivity.csv
refinancing_chains,17,chains,results/official/objectives/04_credit_mechanisms/tables/refinancing_chains.csv
acute_refinancing_chains,7,chains,results/official/objectives/04_credit_mechanisms/tables/refinancing_chains.csv
